Player,Venue,Predicted Performance
MS Wade,"Narendra Modi Stadium, Ahmedabad",Bad
Mohammed Shami,"Narendra Modi Stadium, Ahmedabad",Bad
N Jagadeesan,"Narendra Modi Stadium, Ahmedabad",Bad
N Pooran,"Narendra Modi Stadium, Ahmedabad",Bad
N Rana,"Narendra Modi Stadium, Ahmedabad",Excellent
N Wadhera,"Narendra Modi Stadium, Ahmedabad",Average
Naman Dhir,"Narendra Modi Stadium, Ahmedabad",Average
Nithish Kumar Reddy,"Narendra Modi Stadium, Ahmedabad",Bad
Noor Ahmad,"Narendra Modi Stadium, Ahmedabad",Bad
OC McCoy,"Narendra Modi Stadium, Ahmedabad",Bad
P Simran Singh,"Narendra Modi Stadium, Ahmedabad",Good
PD Salt,"Narendra Modi Stadium, Ahmedabad",Bad
PJ Cummins,"Narendra Modi Stadium, Ahmedabad",Poor
PK Garg,"Narendra Modi Stadium, Ahmedabad",Poor
PP Chawla,"Narendra Modi Stadium, Ahmedabad",Bad
PP Shaw,"Narendra Modi Stadium, Ahmedabad",Bad
PWH de Silva,"Narendra Modi Stadium, Ahmedabad",Bad
Q de Kock,"Narendra Modi Stadium, Ahmedabad",Excellent
R Ashwin,"Narendra Modi Stadium, Ahmedabad",Bad
R Parag,"Narendra Modi Stadium, Ahmedabad",Poor
R Powell,"Narendra Modi Stadium, Ahmedabad",Poor
R Ravindra,"Narendra Modi Stadium, Ahmedabad",Bad
R Tewatia,"Narendra Modi Stadium, Ahmedabad",Poor
RA Jadeja,"Narendra Modi Stadium, Ahmedabad",Poor
RA Tripathi,"Narendra Modi Stadium, Ahmedabad",Average
RD Gaikwad,"Narendra Modi Stadium, Ahmedabad",Good
RG Sharma,"Narendra Modi Stadium, Ahmedabad",Poor
RK Singh,"Narendra Modi Stadium, Ahmedabad",Excellent
RM Patidar,"Narendra Modi Stadium, Ahmedabad",Excellent
RP Meredith,"Narendra Modi Stadium, Ahmedabad",Bad
RR Pant,"Narendra Modi Stadium, Ahmedabad",Poor
RR Rossouw,"Narendra Modi Stadium, Ahmedabad",Bad
RV Patel,"Narendra Modi Stadium, Ahmedabad",Average
Rahmanullah Gurbaz,"Narendra Modi Stadium, Ahmedabad",Poor
Rashid Khan,"Narendra Modi Stadium, Ahmedabad",Bad
Ravi Bishnoi,"Narendra Modi Stadium, Ahmedabad",Bad
S Dhawan,"Narendra Modi Stadium, Ahmedabad",Bad
S Dube,"Narendra Modi Stadium, Ahmedabad",Average
SA Yadav,"Narendra Modi Stadium, Ahmedabad",Excellent
SD Hope,"Narendra Modi Stadium, Ahmedabad",Poor
SH Johnson,"Narendra Modi Stadium, Ahmedabad",Bad
SM Curran,"Narendra Modi Stadium, Ahmedabad",Bad
SN Thakur,"Narendra Modi Stadium, Ahmedabad",Bad
SO Hetmyer,"Narendra Modi Stadium, Ahmedabad",Average
SP Narine,"Narendra Modi Stadium, Ahmedabad",Poor
SS Iyer,"Narendra Modi Stadium, Ahmedabad",Excellent
SV Samson,"Narendra Modi Stadium, Ahmedabad",Average
SZ Mulani,"Narendra Modi Stadium, Ahmedabad",Bad
Sanvir Singh,"Narendra Modi Stadium, Ahmedabad",Bad
Shahbaz Ahmed,"Narendra Modi Stadium, Ahmedabad",Poor
Shashank Singh,"Narendra Modi Stadium, Ahmedabad",Excellent
Shubman Gill,"Narendra Modi Stadium, Ahmedabad",Excellent
Sikandar Raza,"Narendra Modi Stadium, Ahmedabad",Poor
Sumit Kumar,"Narendra Modi Stadium, Ahmedabad",Bad
Swapnil Singh,"Narendra Modi Stadium, Ahmedabad",Bad
T Kohler-Cadmore,"Narendra Modi Stadium, Ahmedabad",Average
TA Boult,"Narendra Modi Stadium, Ahmedabad",Bad
TH David,"Narendra Modi Stadium, Ahmedabad",Bad
TM Head,"Narendra Modi Stadium, Ahmedabad",Bad
Tilak Varma,"Narendra Modi Stadium, Ahmedabad",Average
UT Yadav,"Narendra Modi Stadium, Ahmedabad",Bad
V Kohli,"Narendra Modi Stadium, Ahmedabad",Good
V Shankar,"Narendra Modi Stadium, Ahmedabad",Average
V Viyaskanth,"Narendra Modi Stadium, Ahmedabad",Bad
VR Iyer,"Narendra Modi Stadium, Ahmedabad",Excellent
Vishnu Vinod,"Narendra Modi Stadium, Ahmedabad",Bad
WG Jacks,"Narendra Modi Stadium, Ahmedabad",Excellent
WP Saha,"Narendra Modi Stadium, Ahmedabad",Poor
Washington Sundar,"Narendra Modi Stadium, Ahmedabad",Bad
YBK Jaiswal,"Narendra Modi Stadium, Ahmedabad",Average
A Badoni,"Punjab Cricket Association IS Bindra Stadium, Mohali",Excellent
AD Russell,"Punjab Cricket Association IS Bindra Stadium, Mohali",Good
AS Roy,"Punjab Cricket Association IS Bindra Stadium, Mohali",Bad
Arshdeep Singh,"Punjab Cricket Association IS Bindra Stadium, Mohali",Bad
Atharva Taide,"Punjab Cricket Association IS Bindra Stadium, Mohali",Good
B Sai Sudharsan,"Punjab Cricket Association IS Bindra Stadium, Mohali",Poor
C Green,"Punjab Cricket Association IS Bindra Stadium, Mohali",Average
DA Miller,"Punjab Cricket Association IS Bindra Stadium, Mohali",Poor
DJ Hooda,"Punjab Cricket Association IS Bindra Stadium, Mohali",Poor
F du Plessis,"Punjab Cricket Association IS Bindra Stadium, Mohali",Excellent
GJ Maxwell,"Punjab Cricket Association IS Bindra Stadium, Mohali",Bad
HH Pandya,"Punjab Cricket Association IS Bindra Stadium, Mohali",Bad
Harpreet Brar,"Punjab Cricket Association IS Bindra Stadium, Mohali",Poor
Harpreet Singh,"Punjab Cricket Association IS Bindra Stadium, Mohali",Poor
Ishan Kishan,"Punjab Cricket Association IS Bindra Stadium, Mohali",Excellent
JM Sharma,"Punjab Cricket Association IS Bindra Stadium, Mohali",Good
K Rabada,"Punjab Cricket Association IS Bindra Stadium, Mohali",Bad
KD Karthik,"Punjab Cricket Association IS Bindra Stadium, Mohali",Bad
KH Pandya,"Punjab Cricket Association IS Bindra Stadium, Mohali",Bad
KL Rahul,"Punjab Cricket Association IS Bindra Stadium, Mohali",Poor
KR Mayers,"Punjab Cricket Association IS Bindra Stadium, Mohali",Excellent
LS Livingstone,"Punjab Cricket Association IS Bindra Stadium, Mohali",Good
M Shahrukh Khan,"Punjab Cricket Association IS Bindra Stadium, Mohali",Poor
MK Lomror,"Punjab Cricket Association IS Bindra Stadium, Mohali",Bad
MP Stoinis,"Punjab Cricket Association IS Bindra Stadium, Mohali",Excellent
MW Short,"Punjab Cricket Association IS Bindra Stadium, Mohali",Average
Mandeep Singh,"Punjab Cricket Association IS Bindra Stadium, Mohali",Bad
N Pooran,"Punjab Cricket Association IS Bindra Stadium, Mohali",Excellent
N Rana,"Punjab Cricket Association IS Bindra Stadium, Mohali",Average
NT Ellis,"Punjab Cricket Association IS Bindra Stadium, Mohali",Bad
P Simran Singh,"Punjab Cricket Association IS Bindra Stadium, Mohali",Poor
PBB Rajapaksa,"Punjab Cricket Association IS Bindra Stadium, Mohali",Good
R Dhawan,"Punjab Cricket Association IS Bindra Stadium, Mohali",Bad
R Tewatia,"Punjab Cricket Association IS Bindra Stadium, Mohali",Bad
RD Chahar,"Punjab Cricket Association IS Bindra Stadium, Mohali",Bad
RG Sharma,"Punjab Cricket Association IS Bindra Stadium, Mohali",Bad
RK Singh,"Punjab Cricket Association IS Bindra Stadium, Mohali",Bad
Rahmanullah Gurbaz,"Punjab Cricket Association IS Bindra Stadium, Mohali",Average
S Dhawan,"Punjab Cricket Association IS Bindra Stadium, Mohali",Poor
SA Yadav,"Punjab Cricket Association IS Bindra Stadium, Mohali",Excellent
SM Curran,"Punjab Cricket Association IS Bindra Stadium, Mohali",Poor
SN Thakur,"Punjab Cricket Association IS Bindra Stadium, Mohali",Bad
SP Narine,"Punjab Cricket Association IS Bindra Stadium, Mohali",Bad
Shahbaz Ahmed,"Punjab Cricket Association IS Bindra Stadium, Mohali",Bad
Shubman Gill,"Punjab Cricket Association IS Bindra Stadium, Mohali",Excellent
Sikandar Raza,"Punjab Cricket Association IS Bindra Stadium, Mohali",Average
TH David,"Punjab Cricket Association IS Bindra Stadium, Mohali",Poor
Tilak Varma,"Punjab Cricket Association IS Bindra Stadium, Mohali",Average
V Kohli,"Punjab Cricket Association IS Bindra Stadium, Mohali",Excellent
VR Iyer,"Punjab Cricket Association IS Bindra Stadium, Mohali",Good
WP Saha,"Punjab Cricket Association IS Bindra Stadium, Mohali",Good
A Badoni,"Rajiv Gandhi International Stadium, Hyderabad",Excellent
A Nortje,"Rajiv Gandhi International Stadium, Hyderabad",Bad
AD Russell,"Rajiv Gandhi International Stadium, Hyderabad",Average
AK Markram,"Rajiv Gandhi International Stadium, Hyderabad",Average
AM Rahane,"Rajiv Gandhi International Stadium, Hyderabad",Good
AR Patel,"Rajiv Gandhi International Stadium, Hyderabad",Good
AS Roy,"Rajiv Gandhi International Stadium, Hyderabad",Poor
AU Rashid,"Rajiv Gandhi International Stadium, Hyderabad",Poor
Abdul Samad,"Rajiv Gandhi International Stadium, Hyderabad",Average
Abhishek Sharma,"Rajiv Gandhi International Stadium, Hyderabad",Average
Aman Hakim Khan,"Rajiv Gandhi International Stadium, Hyderabad",Bad
Anmolpreet Singh,"Rajiv Gandhi International Stadium, Hyderabad",Average
Ashutosh Sharma,"Rajiv Gandhi International Stadium, Hyderabad",Bad
Atharva Taide,"Rajiv Gandhi International Stadium, Hyderabad",Excellent
B Kumar,"Rajiv Gandhi International Stadium, Hyderabad",Bad
C Green,"Rajiv Gandhi International Stadium, Hyderabad",Excellent
D Padikkal,"Rajiv Gandhi International Stadium, Hyderabad",Bad
DA Warner,"Rajiv Gandhi International Stadium, Hyderabad",Average
DJ Mitchell,"Rajiv Gandhi International Stadium, Hyderabad",Poor
Dhruv Jurel,"Rajiv Gandhi International Stadium, Hyderabad",Bad
F du Plessis,"Rajiv Gandhi International Stadium, Hyderabad",Excellent
GD Phillips,"Rajiv Gandhi International Stadium, Hyderabad",Bad
GJ Maxwell,"Rajiv Gandhi International Stadium, Hyderabad",Bad
H Klaasen,"Rajiv Gandhi International Stadium, Hyderabad",Excellent
HC Brook,"Rajiv Gandhi International Stadium, Hyderabad",Poor
HH Pandya,"Rajiv Gandhi International Stadium, Hyderabad",Average
Harpreet Brar,"Rajiv Gandhi International Stadium, Hyderabad",Bad
Harshit Rana,"Rajiv Gandhi International Stadium, Hyderabad",Bad
I Sharma,"Rajiv Gandhi International Stadium, Hyderabad",Bad
Ishan Kishan,"Rajiv Gandhi International Stadium, Hyderabad",Good
JC Buttler,"Rajiv Gandhi International Stadium, Hyderabad",Average
JD Unadkat,"Rajiv Gandhi International Stadium, Hyderabad",Bad
JJ Roy,"Rajiv Gandhi International Stadium, Hyderabad",Average
JM Sharma,"Rajiv Gandhi International Stadium, Hyderabad",Poor
KD Karthik,"Rajiv Gandhi International Stadium, Hyderabad",Poor
KH Pandya,"Rajiv Gandhi International Stadium, Hyderabad",Average
KL Rahul,"Rajiv Gandhi International Stadium, Hyderabad",Average
KR Mayers,"Rajiv Gandhi International Stadium, Hyderabad",Bad
Kuldeep Yadav,"Rajiv Gandhi International Stadium, Hyderabad",Bad
M Jansen,"Rajiv Gandhi International Stadium, Hyderabad",Bad
M Markande,"Rajiv Gandhi International Stadium, Hyderabad",Bad
M Shahrukh Khan,"Rajiv Gandhi International Stadium, Hyderabad",Bad
MA Agarwal,"Rajiv Gandhi International Stadium, Hyderabad",Average
MG Bracewell,"Rajiv Gandhi International Stadium, Hyderabad",Bad
MK Lomror,"Rajiv Gandhi International Stadium, Hyderabad",Bad
MK Pandey,"Rajiv Gandhi International Stadium, Hyderabad",Good
MP Stoinis,"Rajiv Gandhi International Stadium, Hyderabad",Average
MR Marsh,"Rajiv Gandhi International Stadium, Hyderabad",Average
MS Dhoni,"Rajiv Gandhi International Stadium, Hyderabad",Bad
MW Short,"Rajiv Gandhi International Stadium, Hyderabad",Bad
Mohit Rathee,"Rajiv Gandhi International Stadium, Hyderabad",Bad
N Pooran,"Rajiv Gandhi International Stadium, Hyderabad",Excellent
N Rana,"Rajiv Gandhi International Stadium, Hyderabad",Excellent
NT Ellis,"Rajiv Gandhi International Stadium, Hyderabad",Bad
Naman Dhir,"Rajiv Gandhi International Stadium, Hyderabad",Good
Nithish Kumar Reddy,"Rajiv Gandhi International Stadium, Hyderabad",Good
P Simran Singh,"Rajiv Gandhi International Stadium, Hyderabad",Good
PD Salt,"Rajiv Gandhi International Stadium, Hyderabad",Bad
PJ Cummins,"Rajiv Gandhi International Stadium, Hyderabad",Good
PN Mankad,"Rajiv Gandhi International Stadium, Hyderabad",Excellent
Q de Kock,"Rajiv Gandhi International Stadium, Hyderabad",Poor
R Ashwin,"Rajiv Gandhi International Stadium, Hyderabad",Bad
R Parag,"Rajiv Gandhi International Stadium, Hyderabad",Excellent
R Powell,"Rajiv Gandhi International Stadium, Hyderabad",Average
R Ravindra,"Rajiv Gandhi International Stadium, Hyderabad",Poor
R Shepherd,"Rajiv Gandhi International Stadium, Hyderabad",Poor
RA Jadeja,"Rajiv Gandhi International Stadium, Hyderabad",Good
RA Tripathi,"Rajiv Gandhi International Stadium, Hyderabad",Average
RD Chahar,"Rajiv Gandhi International Stadium, Hyderabad",Bad
RD Gaikwad,"Rajiv Gandhi International Stadium, Hyderabad",Average
RG Sharma,"Rajiv Gandhi International Stadium, Hyderabad",Average
RK Singh,"Rajiv Gandhi International Stadium, Hyderabad",Excellent
RM Patidar,"Rajiv Gandhi International Stadium, Hyderabad",Excellent
RR Rossouw,"Rajiv Gandhi International Stadium, Hyderabad",Excellent
RV Patel,"Rajiv Gandhi International Stadium, Hyderabad",Bad
Rahmanullah Gurbaz,"Rajiv Gandhi International Stadium, Hyderabad",Bad
S Dhawan,"Rajiv Gandhi International Stadium, Hyderabad",Excellent
S Dube,"Rajiv Gandhi International Stadium, Hyderabad",Excellent
SA Yadav,"Rajiv Gandhi International Stadium, Hyderabad",Bad
SM Curran,"Rajiv Gandhi International Stadium, Hyderabad",Average
SN Khan,"Rajiv Gandhi International Stadium, Hyderabad",Poor
SN Thakur,"Rajiv Gandhi International Stadium, Hyderabad",Bad
SO Hetmyer,"Rajiv Gandhi International Stadium, Hyderabad",Poor
SP Narine,"Rajiv Gandhi International Stadium, Hyderabad",Bad
SV Samson,"Rajiv Gandhi International Stadium, Hyderabad",Average
Sanvir Singh,"Rajiv Gandhi International Stadium, Hyderabad",Bad
Shahbaz Ahmed,"Rajiv Gandhi International Stadium, Hyderabad",Average
Shashank Singh,"Rajiv Gandhi International Stadium, Hyderabad",Bad
Shivam Singh,"Rajiv Gandhi International Stadium, Hyderabad",Bad
Sikandar Raza,"Rajiv Gandhi International Stadium, Hyderabad",Bad
Swapnil Singh,"Rajiv Gandhi International Stadium, Hyderabad",Poor
TH David,"Rajiv Gandhi International Stadium, Hyderabad",Average
TM Head,"Rajiv Gandhi International Stadium, Hyderabad",Excellent
Tilak Varma,"Rajiv Gandhi International Stadium, Hyderabad",Excellent
Umran Malik,"Rajiv Gandhi International Stadium, Hyderabad",Poor
V Kohli,"Rajiv Gandhi International Stadium, Hyderabad",Excellent
VG Arora,"Rajiv Gandhi International Stadium, Hyderabad",Bad
VR Iyer,"Rajiv Gandhi International Stadium, Hyderabad",Bad
WG Jacks,"Rajiv Gandhi International Stadium, Hyderabad",Bad
Washington Sundar,"Rajiv Gandhi International Stadium, Hyderabad",Poor
YBK Jaiswal,"Rajiv Gandhi International Stadium, Hyderabad",Excellent
A Badoni,"Sawai Mansingh Stadium, Jaipur",Bad
A Manohar,"Sawai Mansingh Stadium, Jaipur",Bad
A Zampa,"Sawai Mansingh Stadium, Jaipur",Bad
AK Markram,"Sawai Mansingh Stadium, Jaipur",Bad
AM Rahane,"Sawai Mansingh Stadium, Jaipur",Poor
AR Patel,"Sawai Mansingh Stadium, Jaipur",Poor
AT Rayudu,"Sawai Mansingh Stadium, Jaipur",Bad
Abdul Samad,"Sawai Mansingh Stadium, Jaipur",Poor
Abhishek Sharma,"Sawai Mansingh Stadium, Jaipur",Excellent
Abishek Porel,"Sawai Mansingh Stadium, Jaipur",Bad
Anmolpreet Singh,"Sawai Mansingh Stadium, Jaipur",Good
Anuj Rawat,"Sawai Mansingh Stadium, Jaipur",Average
B Sai Sudharsan,"Sawai Mansingh Stadium, Jaipur",Good
C Green,"Sawai Mansingh Stadium, Jaipur",Bad
D Padikkal,"Sawai Mansingh Stadium, Jaipur",Poor
DA Warner,"Sawai Mansingh Stadium, Jaipur",Excellent
DJ Hooda,"Sawai Mansingh Stadium, Jaipur",Poor
DP Conway,"Sawai Mansingh Stadium, Jaipur",Bad
Dhruv Jurel,"Sawai Mansingh Stadium, Jaipur",Poor
F du Plessis,"Sawai Mansingh Stadium, Jaipur",Excellent
G Coetzee,"Sawai Mansingh Stadium, Jaipur",Bad
GD Phillips,"Sawai Mansingh Stadium, Jaipur",Average
GJ Maxwell,"Sawai Mansingh Stadium, Jaipur",Average
H Klaasen,"Sawai Mansingh Stadium, Jaipur",Average
HH Pandya,"Sawai Mansingh Stadium, Jaipur",Average
Ishan Kishan,"Sawai Mansingh Stadium, Jaipur",Bad
JC Buttler,"Sawai Mansingh Stadium, Jaipur",Good
JE Root,"Sawai Mansingh Stadium, Jaipur",Poor
JJ Bumrah,"Sawai Mansingh Stadium, Jaipur",Bad
KD Karthik,"Sawai Mansingh Stadium, Jaipur",Bad
KH Pandya,"Sawai Mansingh Stadium, Jaipur",Bad
KL Rahul,"Sawai Mansingh Stadium, Jaipur",Excellent
KM Asif,"Sawai Mansingh Stadium, Jaipur",Bad
KR Mayers,"Sawai Mansingh Stadium, Jaipur",Excellent
M Jansen,"Sawai Mansingh Stadium, Jaipur",Bad
M Shahrukh Khan,"Sawai Mansingh Stadium, Jaipur",Poor
MG Bracewell,"Sawai Mansingh Stadium, Jaipur",Bad
MK Lomror,"Sawai Mansingh Stadium, Jaipur",Bad
MM Ali,"Sawai Mansingh Stadium, Jaipur",Average
MP Stoinis,"Sawai Mansingh Stadium, Jaipur",Poor
MR Marsh,"Sawai Mansingh Stadium, Jaipur",Average
MS Wade,"Sawai Mansingh Stadium, Jaipur",Bad
Mohammad Nabi,"Sawai Mansingh Stadium, Jaipur",Average
N Pooran,"Sawai Mansingh Stadium, Jaipur",Excellent
N Wadhera,"Sawai Mansingh Stadium, Jaipur",Excellent
PP Chawla,"Sawai Mansingh Stadium, Jaipur",Bad
Q de Kock,"Sawai Mansingh Stadium, Jaipur",Bad
R Ashwin,"Sawai Mansingh Stadium, Jaipur",Bad
R Parag,"Sawai Mansingh Stadium, Jaipur",Good
R Tewatia,"Sawai Mansingh Stadium, Jaipur",Average
RA Jadeja,"Sawai Mansingh Stadium, Jaipur",Average
RA Tripathi,"Sawai Mansingh Stadium, Jaipur",Excellent
RD Gaikwad,"Sawai Mansingh Stadium, Jaipur",Excellent
RG Sharma,"Sawai Mansingh Stadium, Jaipur",Bad
RK Bhui,"Sawai Mansingh Stadium, Jaipur",Bad
RR Pant,"Sawai Mansingh Stadium, Jaipur",Average
Rashid Khan,"Sawai Mansingh Stadium, Jaipur",Average
S Dube,"Sawai Mansingh Stadium, Jaipur",Excellent
SA Yadav,"Sawai Mansingh Stadium, Jaipur",Poor
SO Hetmyer,"Sawai Mansingh Stadium, Jaipur",Poor
SV Samson,"Sawai Mansingh Stadium, Jaipur",Good
Sandeep Sharma,"Sawai Mansingh Stadium, Jaipur",Bad
Saurav Chauhan,"Sawai Mansingh Stadium, Jaipur",Bad
Shubman Gill,"Sawai Mansingh Stadium, Jaipur",Excellent
T Stubbs,"Sawai Mansingh Stadium, Jaipur",Excellent
TA Boult,"Sawai Mansingh Stadium, Jaipur",Poor
TH David,"Sawai Mansingh Stadium, Jaipur",Bad
Tilak Varma,"Sawai Mansingh Stadium, Jaipur",Excellent
V Kohli,"Sawai Mansingh Stadium, Jaipur",Excellent
V Shankar,"Sawai Mansingh Stadium, Jaipur",Poor
WP Saha,"Sawai Mansingh Stadium, Jaipur",Excellent
YBK Jaiswal,"Sawai Mansingh Stadium, Jaipur",Good
Yudhvir Singh,"Sawai Mansingh Stadium, Jaipur",Bad
A Badoni,"Wankhede Stadium, Mumbai",Average
A Manohar,"Wankhede Stadium, Mumbai",Bad
A Raghuvanshi,"Wankhede Stadium, Mumbai",Poor
AD Russell,"Wankhede Stadium, Mumbai",Average
AJ Finch,"Wankhede Stadium, Mumbai",Bad
AK Markram,"Wankhede Stadium, Mumbai",Average
AM Rahane,"Wankhede Stadium, Mumbai",Good
AR Patel,"Wankhede Stadium, Mumbai",Poor
AS Joseph,"Wankhede Stadium, Mumbai",Bad
AT Rayudu,"Wankhede Stadium, Mumbai",Good
Abdul Samad,"Wankhede Stadium, Mumbai",Bad
Abhishek Sharma,"Wankhede Stadium, Mumbai",Average
Abishek Porel,"Wankhede Stadium, Mumbai",Excellent
Akash Deep,"Wankhede Stadium, Mumbai",Bad
Akash Madhwal,"Wankhede Stadium, Mumbai",Bad
Anuj Rawat,"Wankhede Stadium, Mumbai",Poor
Arshad Khan,"Wankhede Stadium, Mumbai",Bad
Arshdeep Singh,"Wankhede Stadium, Mumbai",Bad
Atharva Taide,"Wankhede Stadium, Mumbai",Average
Avesh Khan,"Wankhede Stadium, Mumbai",Bad
B Indrajith,"Wankhede Stadium, Mumbai",Poor
B Kumar,"Wankhede Stadium, Mumbai",Bad
C Green,"Wankhede Stadium, Mumbai",Good
D Brevis,"Wankhede Stadium, Mumbai",Poor
D Padikkal,"Wankhede Stadium, Mumbai",Average
D Pretorius,"Wankhede Stadium, Mumbai",Bad
DA Miller,"Wankhede Stadium, Mumbai",Average
DA Warner,"Wankhede Stadium, Mumbai",Average
DJ Bravo,"Wankhede Stadium, Mumbai",Poor
DJ Hooda,"Wankhede Stadium, Mumbai",Good
DJ Mitchell,"Wankhede Stadium, Mumbai",Poor
DJ Willey,"Wankhede Stadium, Mumbai",Bad
DP Conway,"Wankhede Stadium, Mumbai",Bad
DR Sams,"Wankhede Stadium, Mumbai",Bad
Dhruv Jurel,"Wankhede Stadium, Mumbai",Bad
E Lewis,"Wankhede Stadium, Mumbai",Poor
F du Plessis,"Wankhede Stadium, Mumbai",Excellent
Fazalhaq Farooqi,"Wankhede Stadium, Mumbai",Bad
G Coetzee,"Wankhede Stadium, Mumbai",Bad
GD Phillips,"Wankhede Stadium, Mumbai",Bad
GJ Maxwell,"Wankhede Stadium, Mumbai",Good
H Klaasen,"Wankhede Stadium, Mumbai",Poor
HC Brook,"Wankhede Stadium, Mumbai",Bad
HE van der Dussen,"Wankhede Stadium, Mumbai",Bad
HH Pandya,"Wankhede Stadium, Mumbai",Average
HR Shokeen,"Wankhede Stadium, Mumbai",Poor
HV Patel,"Wankhede Stadium, Mumbai",Bad
Harpreet Brar,"Wankhede Stadium, Mumbai",Bad
Harpreet Singh,"Wankhede Stadium, Mumbai",Excellent
Harshit Rana,"Wankhede Stadium, Mumbai",Bad
Ishan Kishan,"Wankhede Stadium, Mumbai",Average
J Suchith,"Wankhede Stadium, Mumbai",Bad
JA Richardson,"Wankhede Stadium, Mumbai",Bad
JC Archer,"Wankhede Stadium, Mumbai",Bad
JC Buttler,"Wankhede Stadium, Mumbai",Excellent
JD Unadkat,"Wankhede Stadium, Mumbai",Bad
JJ Bumrah,"Wankhede Stadium, Mumbai",Bad
JM Bairstow,"Wankhede Stadium, Mumbai",Average
JM Sharma,"Wankhede Stadium, Mumbai",Average
JO Holder,"Wankhede Stadium, Mumbai",Bad
K Gowtham,"Wankhede Stadium, Mumbai",Bad
K Rabada,"Wankhede Stadium, Mumbai",Average
KA Pollard,"Wankhede Stadium, Mumbai",Poor
KD Karthik,"Wankhede Stadium, Mumbai",Good
KH Pandya,"Wankhede Stadium, Mumbai",Poor
KK Nair,"Wankhede Stadium, Mumbai",Poor
KL Rahul,"Wankhede Stadium, Mumbai",Excellent
KM Jadhav,"Wankhede Stadium, Mumbai",Poor
KS Williamson,"Wankhede Stadium, Mumbai",Bad
Kartik Tyagi,"Wankhede Stadium, Mumbai",Bad
Kuldeep Yadav,"Wankhede Stadium, Mumbai",Bad
Kumar Kushagra,"Wankhede Stadium, Mumbai",Bad
LS Livingstone,"Wankhede Stadium, Mumbai",Average
Lalit Yadav,"Wankhede Stadium, Mumbai",Poor
M Jansen,"Wankhede Stadium, Mumbai",Poor
M Shahrukh Khan,"Wankhede Stadium, Mumbai",Bad
M Theekshana,"Wankhede Stadium, Mumbai",Bad
MA Agarwal,"Wankhede Stadium, Mumbai",Average
MA Starc,"Wankhede Stadium, Mumbai",Bad
MJ Santner,"Wankhede Stadium, Mumbai",Bad
MK Lomror,"Wankhede Stadium, Mumbai",Bad
MK Pandey,"Wankhede Stadium, Mumbai",Average
MM Ali,"Wankhede Stadium, Mumbai",Poor
MP Stoinis,"Wankhede Stadium, Mumbai",Average
MR Marsh,"Wankhede Stadium, Mumbai",Poor
MS Dhoni,"Wankhede Stadium, Mumbai",Average
MS Wade,"Wankhede Stadium, Mumbai",Average
MW Short,"Wankhede Stadium, Mumbai",Poor
Mohammad Nabi,"Wankhede Stadium, Mumbai",Bad
Mukesh Choudhary,"Wankhede Stadium, Mumbai",Bad
N Jagadeesan,"Wankhede Stadium, Mumbai",Poor
N Pooran,"Wankhede Stadium, Mumbai",Average
N Rana,"Wankhede Stadium, Mumbai",Average
N Wadhera,"Wankhede Stadium, Mumbai",Poor
Naman Dhir,"Wankhede Stadium, Mumbai",Poor
Nithish Kumar Reddy,"Wankhede Stadium, Mumbai",Average
Noor Ahmad,"Wankhede Stadium, Mumbai",Bad
OF Smith,"Wankhede Stadium, Mumbai",Bad
P Simran Singh,"Wankhede Stadium, Mumbai",Average
PBB Rajapaksa,"Wankhede Stadium, Mumbai",Good
PD Salt,"Wankhede Stadium, Mumbai",Bad
PJ Cummins,"Wankhede Stadium, Mumbai",Good
PK Garg,"Wankhede Stadium, Mumbai",Average
PN Mankad,"Wankhede Stadium, Mumbai",Bad
PP Chawla,"Wankhede Stadium, Mumbai",Bad
PP Shaw,"Wankhede Stadium, Mumbai",Average
PVD Chameera,"Wankhede Stadium, Mumbai",Bad
PWH de Silva,"Wankhede Stadium, Mumbai",Poor
Q de Kock,"Wankhede Stadium, Mumbai",Poor
R Ashwin,"Wankhede Stadium, Mumbai",Poor
R Dhawan,"Wankhede Stadium, Mumbai",Bad
R Parag,"Wankhede Stadium, Mumbai",Average
R Powell,"Wankhede Stadium, Mumbai",Average
R Ravindra,"Wankhede Stadium, Mumbai",Average
R Sanjay Yadav,"Wankhede Stadium, Mumbai",Bad
R Shepherd,"Wankhede Stadium, Mumbai",Poor
R Tewatia,"Wankhede Stadium, Mumbai",Average
RA Bawa,"Wankhede Stadium, Mumbai",Poor
RA Jadeja,"Wankhede Stadium, Mumbai",Average
RA Tripathi,"Wankhede Stadium, Mumbai",Excellent
RD Chahar,"Wankhede Stadium, Mumbai",Bad
RD Gaikwad,"Wankhede Stadium, Mumbai",Good
RG Sharma,"Wankhede Stadium, Mumbai",Good
RK Singh,"Wankhede Stadium, Mumbai",Average
RM Patidar,"Wankhede Stadium, Mumbai",Excellent
RR Pant,"Wankhede Stadium, Mumbai",Average
RV Uthappa,"Wankhede Stadium, Mumbai",Poor
Rahmanullah Gurbaz,"Wankhede Stadium, Mumbai",Bad
Ramandeep Singh,"Wankhede Stadium, Mumbai",Bad
Rashid Khan,"Wankhede Stadium, Mumbai",Excellent
S Dhawan,"Wankhede Stadium, Mumbai",Good
S Dube,"Wankhede Stadium, Mumbai",Poor
SA Yadav,"Wankhede Stadium, Mumbai",Excellent
SB Dubey,"Wankhede Stadium, Mumbai",Bad
SE Rutherford,"Wankhede Stadium, Mumbai",Bad
