bowler,venue,matches_played,total_runs_conceded,balls_bowled,economy,total_wickets,Bowling_Strike_Rate,Performance
GJ Maxwell,"Sawai Mansingh Stadium, Jaipur",1,3,6,3.0,1,6.0,Excellent
GJ Maxwell,"Wankhede Stadium, Mumbai",4,72,55,7.85,3,18.33333333333333,Good
Gulbadin Naib,"Arun Jaitley Stadium, Delhi",1,12,6,12.0,0,NA,Bad
Gurnoor Brar,"Punjab Cricket Association IS Bindra Stadium, Mohali",1,42,21,12.0,0,NA,Bad
H Sharma,"M.Chinnaswamy Stadium, Bengaluru",1,33,18,11.0,0,NA,Bad
H Sharma,"Sawai Mansingh Stadium, Jaipur",1,29,12,14.5,0,NA,Bad
HH Pandya,"Arun Jaitley Stadium, Delhi",2,63,30,12.6,0,NA,Bad
HH Pandya,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2,33,31,6.39,3,10.333333333333334,Excellent
HH Pandya,"Brabourne Stadium, Mumbai",1,37,25,8.88,1,25.0,Average
HH Pandya,"Dr DY Patil Sports Academy, Mumbai",2,45,41,6.59,2,20.5,Excellent
HH Pandya,"Eden Gardens, Kolkata",3,82,50,9.84,1,50.0,Poor
HH Pandya,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",1,33,27,7.33,1,27.0,Good
HH Pandya,"Maharashtra Cricket Association Stadium, Pune",2,32,30,6.4,1,30.0,Excellent
HH Pandya,"Narendra Modi Stadium, Ahmedabad",9,203,143,8.52,6,23.83333333333333,Average
HH Pandya,"Rajiv Gandhi International Stadium, Hyderabad",1,46,24,11.5,1,24.0,Poor
HH Pandya,"Sawai Mansingh Stadium, Jaipur",2,44,24,11.0,1,24.0,Poor
HH Pandya,"Wankhede Stadium, Mumbai",8,238,146,9.78,8,18.25,Average
HR Shokeen,"Arun Jaitley Stadium, Delhi",1,43,26,9.92,1,26.0,Poor
HR Shokeen,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",1,21,18,7.0,0,NA,Good
HR Shokeen,"Dr DY Patil Sports Academy, Mumbai",2,71,43,9.91,2,21.5,Poor
HR Shokeen,"M.Chinnaswamy Stadium, Bengaluru",1,17,6,17.0,0,NA,Bad
HR Shokeen,"MA Chidambaram Stadium, Chennai",1,18,7,15.43,0,NA,Bad
HR Shokeen,"Rajiv Gandhi International Stadium, Hyderabad",1,12,6,12.0,0,NA,Bad
HR Shokeen,"Wankhede Stadium, Mumbai",6,138,107,7.74,2,53.5,Good
HV Patel,"Arun Jaitley Stadium, Delhi",1,32,13,14.77,1,13.0,Good
HV Patel,"Barsapara Cricket Stadium, Guwahati",1,28,25,6.72,3,8.333333333333334,Excellent
HV Patel,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2,67,51,7.88,3,17.0,Good
HV Patel,"Brabourne Stadium, Mumbai",3,89,62,8.61,6,10.333333333333334,Excellent
HV Patel,"Dr DY Patil Sports Academy, Mumbai",3,94,80,7.05,5,16.0,Good
HV Patel,"Eden Gardens, Kolkata",3,113,66,10.27,4,16.5,Bad
HV Patel,Himachal Pradesh Cricket Association Stadium (Dharamsala),2,63,51,7.41,6,8.5,Excellent
HV Patel,"M.Chinnaswamy Stadium, Bengaluru",8,316,204,9.29,10,20.4,Poor
HV Patel,"MA Chidambaram Stadium, Chennai",1,12,7,10.29,0,NA,Bad
HV Patel,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",5,149,105,8.51,14,7.5,Excellent
HV Patel,"Maharashtra Cricket Association Stadium, Pune",3,97,72,8.08,6,12.0,Excellent
HV Patel,"Narendra Modi Stadium, Ahmedabad",2,73,46,9.52,1,46.0,Poor
HV Patel,"Punjab Cricket Association IS Bindra Stadium, Mohali",1,23,22,6.27,1,22.0,Excellent
HV Patel,"Rajiv Gandhi International Stadium, Hyderabad",2,86,52,9.92,3,17.333333333333332,Average
HV Patel,"Wankhede Stadium, Mumbai",5,132,101,7.84,3,33.666666666666664,Good
Harpreet Brar,"Arun Jaitley Stadium, Delhi",1,30,25,7.2,4,6.25,Excellent
Harpreet Brar,"Barsapara Cricket Stadium, Guwahati",2,25,18,8.33,0,NA,Average
Harpreet Brar,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2,24,24,6.0,1,24.0,Excellent
Harpreet Brar,"Brabourne Stadium, Mumbai",1,34,26,7.85,1,26.0,Good
Harpreet Brar,"Dr DY Patil Sports Academy, Mumbai",2,68,37,11.03,0,NA,Bad
Harpreet Brar,"Eden Gardens, Kolkata",2,25,18,8.33,1,18.0,Average
Harpreet Brar,Himachal Pradesh Cricket Association Stadium (Dharamsala),2,58,26,13.38,0,NA,Bad
Harpreet Brar,"M.Chinnaswamy Stadium, Bengaluru",1,17,24,4.25,2,12.0,Excellent
Harpreet Brar,"MA Chidambaram Stadium, Chennai",1,17,25,4.08,2,12.5,Excellent
Harpreet Brar,Maharaja Yadavindra Singh International Cricket St (Mullanpur) ,1,22,18,7.33,0,NA,Good
Harpreet Brar,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",4,119,84,8.5,1,84.0,Average
Harpreet Brar,"Narendra Modi Stadium, Ahmedabad",1,33,24,8.25,1,24.0,Average
Harpreet Brar,"Punjab Cricket Association IS Bindra Stadium, Mohali",4,80,60,8.0,3,20.0,Average
Harpreet Brar,"Rajiv Gandhi International Stadium, Hyderabad",2,63,38,9.95,1,38.0,Poor
Harpreet Brar,"Wankhede Stadium, Mumbai",3,61,49,7.47,3,16.333333333333332,Good
Harshit Rana,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",1,24,20,7.2,3,6.666666666666667,Excellent
Harshit Rana,"Eden Gardens, Kolkata",11,376,239,9.44,17,14.058823529411764,Good
Harshit Rana,"M.Chinnaswamy Stadium, Bengaluru",1,39,25,9.36,2,12.5,Poor
Harshit Rana,"MA Chidambaram Stadium, Chennai",2,43,37,6.97,2,18.5,Excellent
Harshit Rana,"Maharashtra Cricket Association Stadium, Pune",1,28,12,14.0,0,NA,Bad
Harshit Rana,"Narendra Modi Stadium, Ahmedabad",1,27,25,6.48,1,25.0,Excellent
Harshit Rana,"Rajiv Gandhi International Stadium, Hyderabad",1,29,26,6.69,1,26.0,Excellent
Harshit Rana,"Wankhede Stadium, Mumbai",1,24,19,7.58,1,19.0,Good
I Sharma,"Arun Jaitley Stadium, Delhi",6,176,126,8.38,8,15.75,Good
I Sharma,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",1,36,28,7.71,1,28.0,Good
I Sharma,Dr YS Rajasekhara Reddy Cricket Stadium (Visakhapatnam) ,1,23,20,6.9,0,NA,Excellent
I Sharma,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",1,44,18,14.67,2,9.0,Excellent
I Sharma,Himachal Pradesh Cricket Association Stadium (Dharamsala),1,37,19,11.68,2,9.5,Excellent
I Sharma,"M.Chinnaswamy Stadium, Bengaluru",1,31,21,8.86,1,21.0,Average
I Sharma,"MA Chidambaram Stadium, Chennai",1,24,14,10.29,0,NA,Bad
I Sharma,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",1,16,15,6.4,2,7.5,Excellent
I Sharma,"Narendra Modi Stadium, Ahmedabad",2,31,38,4.89,5,7.6,Excellent
I Sharma,"Rajiv Gandhi International Stadium, Hyderabad",1,18,18,6.0,1,18.0,Excellent
I Sharma,"Wankhede Stadium, Mumbai",1,40,22,10.91,0,NA,Bad
J Little,"Arun Jaitley Stadium, Delhi",1,27,24,6.75,0,NA,Excellent
J Little,"Eden Gardens, Kolkata",1,25,24,6.25,2,12.0,Excellent
J Little,"M.Chinnaswamy Stadium, Bengaluru",1,45,25,10.8,4,6.25,Excellent
J Little,"Narendra Modi Stadium, Ahmedabad",6,188,112,10.07,3,37.333333333333336,Bad
J Little,"Punjab Cricket Association IS Bindra Stadium, Mohali",1,32,27,7.11,3,9.0,Excellent
J Little,"Sawai Mansingh Stadium, Jaipur",1,24,24,6.0,1,24.0,Excellent
J Suchith,"Brabourne Stadium, Mumbai",2,44,38,6.95,3,12.666666666666666,Excellent
J Suchith,"Dr DY Patil Sports Academy, Mumbai",1,28,25,6.72,1,25.0,Excellent
J Suchith,"Wankhede Stadium, Mumbai",2,69,52,7.96,3,17.333333333333332,Good
J Yadav,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",1,26,24,6.5,0,NA,Excellent
JA Richardson,"Wankhede Stadium, Mumbai",1,40,25,9.6,0,NA,Poor
JC Archer,"M.Chinnaswamy Stadium, Bengaluru",1,33,24,8.25,0,NA,Average
JC Archer,"MA Chidambaram Stadium, Chennai",1,25,25,6.0,0,NA,Excellent
JC Archer,"Punjab Cricket Association IS Bindra Stadium, Mohali",1,60,27,13.33,0,NA,Bad
JC Archer,"Wankhede Stadium, Mumbai",2,84,53,9.51,2,26.5,Poor
JD Unadkat,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2,65,39,10.0,1,39.0,Bad
JD Unadkat,"Brabourne Stadium, Mumbai",1,32,25,7.68,2,12.5,Good
JD Unadkat,"Dr DY Patil Sports Academy, Mumbai",1,48,25,11.52,2,12.5,Bad
JD Unadkat,"M.Chinnaswamy Stadium, Bengaluru",2,64,26,14.77,1,26.0,Bad
JD Unadkat,"MA Chidambaram Stadium, Chennai",3,52,38,8.21,1,38.0,Average
JD Unadkat,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",1,49,27,10.89,1,27.0,Bad
JD Unadkat,"Maharashtra Cricket Association Stadium, Pune",2,75,49,9.18,3,16.333333333333332,Poor
JD Unadkat,"Narendra Modi Stadium, Ahmedabad",1,33,19,10.42,0,NA,Bad
JD Unadkat,"Rajiv Gandhi International Stadium, Hyderabad",5,150,103,8.74,6,17.166666666666668,Average
JD Unadkat,"Wankhede Stadium, Mumbai",1,36,24,9.0,0,NA,Poor
JDS Neesham,"Dr DY Patil Sports Academy, Mumbai",1,29,18,9.67,0,NA,Poor
JE Root,"Eden Gardens, Kolkata",1,15,12,7.5,0,NA,Good
JJ Bumrah,"Arun Jaitley Stadium, Delhi",1,36,27,8.0,1,27.0,Average
JJ Bumrah,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",1,17,24,4.25,0,NA,Excellent
JJ Bumrah,"Brabourne Stadium, Mumbai",3,116,70,9.94,0,NA,Poor
JJ Bumrah,"Dr DY Patil Sports Academy, Mumbai",4,85,99,5.15,9,11.0,Excellent
JJ Bumrah,"Eden Gardens, Kolkata",1,40,24,10.0,3,8.0,Excellent
JJ Bumrah,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",1,21,26,4.85,3,8.666666666666666,Excellent
JJ Bumrah,"Maharashtra Cricket Association Stadium, Pune",3,91,68,8.03,1,68.0,Average
JJ Bumrah,"Narendra Modi Stadium, Ahmedabad",1,15,24,3.75,3,8.0,Excellent
JJ Bumrah,"Rajiv Gandhi International Stadium, Hyderabad",1,36,26,8.31,0,NA,Average
JJ Bumrah,"Sawai Mansingh Stadium, Jaipur",1,37,26,8.54,0,NA,Average
JJ Bumrah,"Wankhede Stadium, Mumbai",10,239,241,5.95,17,14.176470588235292,Excellent
JO Holder,"Barsapara Cricket Stadium, Guwahati",2,58,43,8.09,2,21.5,Average
JO Holder,"Brabourne Stadium, Mumbai",2,50,38,7.89,2,19.0,Good
JO Holder,"Dr DY Patil Sports Academy, Mumbai",4,137,105,7.83,6,17.5,Good
JO Holder,"M.Chinnaswamy Stadium, Bengaluru",1,34,24,8.5,0,NA,Average
JO Holder,"MA Chidambaram Stadium, Chennai",1,38,19,12.0,0,NA,Bad
JO Holder,"Maharashtra Cricket Association Stadium, Pune",3,81,48,10.12,5,9.6,Excellent
JO Holder,"Rajiv Gandhi International Stadium, Hyderabad",1,16,18,5.33,1,18.0,Excellent
JO Holder,"Sawai Mansingh Stadium, Jaipur",2,89,49,10.9,1,49.0,Bad
JO Holder,"Wankhede Stadium, Mumbai",4,186,98,11.39,3,32.666666666666664,Bad
JP Behrendorff,"Arun Jaitley Stadium, Delhi",1,23,18,7.67,4,4.5,Excellent
JP Behrendorff,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",1,32,25,7.68,2,12.5,Good
JP Behrendorff,"M.Chinnaswamy Stadium, Bengaluru",1,37,18,12.33,0,NA,Bad
JP Behrendorff,"MA Chidambaram Stadium, Chennai",1,23,18,7.67,0,NA,Good
JP Behrendorff,"Narendra Modi Stadium, Ahmedabad",2,65,50,7.8,1,50.0,Good
JP Behrendorff,"Rajiv Gandhi International Stadium, Hyderabad",1,37,25,8.88,3,8.333333333333334,Excellent
JP Behrendorff,"Wankhede Stadium, Mumbai",5,178,108,9.89,7,15.428571428571429,Good
JR Hazlewood,"Arun Jaitley Stadium, Delhi",1,29,19,9.16,1,19.0,Average
JR Hazlewood,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",1,15,19,4.74,2,9.5,Excellent
JR Hazlewood,"Brabourne Stadium, Mumbai",3,132,66,12.0,0,NA,Bad
JR Hazlewood,"Dr DY Patil Sports Academy, Mumbai",2,58,51,6.82,5,10.2,Excellent
JR Hazlewood,"Eden Gardens, Kolkata",1,44,27,9.78,3,9.0,Excellent
JR Hazlewood,"Maharashtra Cricket Association Stadium, Pune",2,38,48,4.75,4,12.0,Excellent
JR Hazlewood,"Narendra Modi Stadium, Ahmedabad",1,23,24,5.75,2,12.0,Excellent
JR Hazlewood,"Wankhede Stadium, Mumbai",4,117,92,7.63,7,13.142857142857142,Good
K Gowtham,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",3,64,62,6.19,2,31.0,Excellent
K Gowtham,"Dr DY Patil Sports Academy, Mumbai",2,46,36,7.67,2,18.0,Good
K Gowtham,"Eden Gardens, Kolkata",1,26,26,6.0,1,26.0,Excellent
K Gowtham,"MA Chidambaram Stadium, Chennai",2,28,12,14.0,0,NA,Bad
K Gowtham,"Rajiv Gandhi International Stadium, Hyderabad",1,30,13,13.85,0,NA,Bad
K Gowtham,"Wankhede Stadium, Mumbai",2,55,36,9.17,3,12.0,Excellent
K Kartikeya,"Brabourne Stadium, Mumbai",1,29,18,9.67,0,NA,Poor
K Kartikeya,"Dr DY Patil Sports Academy, Mumbai",2,51,42,7.29,3,14.0,Good
K Kartikeya,"Narendra Modi Stadium, Ahmedabad",2,55,36,9.17,1,36.0,Poor
K Kartikeya,"Punjab Cricket Association IS Bindra Stadium, Mohali",1,25,21,7.14,0,NA,Good
K Kartikeya,"Wankhede Stadium, Mumbai",6,174,124,8.42,6,20.666666666666668,Average
K Khejroliya,"Arun Jaitley Stadium, Delhi",1,20,9,13.33,0,NA,Bad
K Khejroliya,"Eden Gardens, Kolkata",1,44,19,13.89,2,9.5,Excellent
K Rabada,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2,73,50,8.76,3,16.666666666666668,Average
K Rabada,"Brabourne Stadium, Mumbai",4,120,90,8.0,6,15.0,Good
K Rabada,"Dr DY Patil Sports Academy, Mumbai",3,91,69,7.91,6,11.5,Excellent
K Rabada,"Eden Gardens, Kolkata",1,52,22,14.18,0,NA,Bad
K Rabada,Himachal Pradesh Cricket Association Stadium (Dharamsala),3,100,63,9.52,2,31.5,Poor
K Rabada,"M.Chinnaswamy Stadium, Bengaluru",1,28,25,6.72,2,12.5,Excellent
K Rabada,"MA Chidambaram Stadium, Chennai",2,59,50,7.08,1,50.0,Good
K Rabada,Maharaja Yadavindra Singh International Cricket St (Mullanpur) ,1,18,24,4.5,2,12.0,Excellent
K Rabada,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",4,157,98,9.61,3,32.666666666666664,Poor
K Rabada,"Maharashtra Cricket Association Stadium, Pune",2,67,49,8.2,6,8.166666666666666,Excellent
K Rabada,"Narendra Modi Stadium, Ahmedabad",1,44,25,10.56,2,12.5,Bad
K Rabada,"Punjab Cricket Association IS Bindra Stadium, Mohali",2,98,52,11.31,3,17.333333333333332,Average
K Rabada,"Wankhede Stadium, Mumbai",4,136,95,8.59,5,19.0,Average
K Yadav,"Sawai Mansingh Stadium, Jaipur",2,68,42,9.71,2,21.0,Poor
KA Maharaj,Maharaja Yadavindra Singh International Cricket St (Mullanpur) ,1,23,24,5.75,2,12.0,Excellent
KA Maharaj,"Sawai Mansingh Stadium, Jaipur",1,16,12,8.0,0,NA,Average
KA Pollard,"Brabourne Stadium, Mumbai",1,14,12,7.0,1,12.0,Excellent
KA Pollard,"Dr DY Patil Sports Academy, Mumbai",3,84,44,11.45,1,44.0,Bad
KA Pollard,"Maharashtra Cricket Association Stadium, Pune",1,24,19,7.58,0,NA,Good
KA Pollard,"Wankhede Stadium, Mumbai",1,8,12,4.0,2,6.0,Excellent
KH Pandya,"Arun Jaitley Stadium, Delhi",1,20,13,9.23,0,NA,Poor
KH Pandya,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",11,263,233,6.77,11,21.181818181818183,Excellent
KH Pandya,"Brabourne Stadium, Mumbai",3,70,43,9.77,0,NA,Poor
KH Pandya,"Dr DY Patil Sports Academy, Mumbai",3,68,60,6.8,3,20.0,Excellent
KH Pandya,"Eden Gardens, Kolkata",3,84,55,9.16,2,27.5,Poor
KH Pandya,"M.Chinnaswamy Stadium, Bengaluru",2,46,30,9.2,0,NA,Poor
KH Pandya,"MA Chidambaram Stadium, Chennai",3,80,48,10.0,0,NA,Bad
KH Pandya,"Maharashtra Cricket Association Stadium, Pune",2,36,49,4.41,2,24.5,Excellent
KH Pandya,"Narendra Modi Stadium, Ahmedabad",1,38,24,9.5,0,NA,Poor
KH Pandya,"Punjab Cricket Association IS Bindra Stadium, Mohali",1,13,7,11.14,0,NA,Bad
KH Pandya,"Rajiv Gandhi International Stadium, Hyderabad",1,24,24,6.0,2,12.0,Excellent
KH Pandya,"Sawai Mansingh Stadium, Jaipur",1,20,24,5.0,0,NA,Excellent
KH Pandya,"Wankhede Stadium, Mumbai",4,85,80,6.38,6,13.333333333333334,Excellent
KK Ahmed,"Arun Jaitley Stadium, Delhi",9,362,203,10.7,9,22.55555555555556,Poor
KK Ahmed,"Barsapara Cricket Stadium, Guwahati",1,31,14,13.29,0,NA,Bad
KK Ahmed,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2,74,50,8.88,4,12.5,Average
KK Ahmed,"Brabourne Stadium, Mumbai",4,103,97,6.37,10,9.7,Excellent
KK Ahmed,"Dr DY Patil Sports Academy, Mumbai",2,71,51,8.35,2,25.5,Average
KK Ahmed,Dr YS Rajasekhara Reddy Cricket Stadium (Visakhapatnam) ,1,22,28,4.71,2,14.0,Excellent
KK Ahmed,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",1,47,31,9.1,1,31.0,Poor
KK Ahmed,"Eden Gardens, Kolkata",1,28,18,9.33,0,NA,Poor
KK Ahmed,Himachal Pradesh Cricket Association Stadium (Dharamsala),1,23,19,7.26,1,19.0,Good
KK Ahmed,"M.Chinnaswamy Stadium, Bengaluru",1,32,24,8.0,2,12.0,Excellent
KK Ahmed,"MA Chidambaram Stadium, Chennai",1,33,26,7.62,1,26.0,Good
KK Ahmed,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",1,43,24,10.75,2,12.0,Excellent
KK Ahmed,"Maharashtra Cricket Association Stadium, Pune",1,34,24,8.5,2,12.0,Excellent
KK Ahmed,"Narendra Modi Stadium, Ahmedabad",2,44,49,5.39,3,16.333333333333332,Excellent
KK Ahmed,"Sawai Mansingh Stadium, Jaipur",1,24,26,5.54,1,26.0,Excellent
KK Ahmed,"Wankhede Stadium, Mumbai",4,146,94,9.32,3,31.33333333333333,Poor
KL Nagarkoti,"Brabourne Stadium, Mumbai",1,29,13,13.38,0,NA,Bad
KM Asif,"Barsapara Cricket Stadium, Guwahati",1,55,28,11.79,0,NA,Bad
KM Asif,"Eden Gardens, Kolkata",1,27,19,8.53,1,19.0,Average
KM Asif,"Rajiv Gandhi International Stadium, Hyderabad",1,15,19,4.74,0,NA,Excellent
KM Asif,"Sawai Mansingh Stadium, Jaipur",1,42,25,10.08,2,12.5,Bad
KR Mayers,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2,12,13,5.54,0,NA,Excellent
KR Mayers,"MA Chidambaram Stadium, Chennai",1,16,13,7.38,0,NA,Good
KR Mayers,"Narendra Modi Stadium, Ahmedabad",1,16,7,13.71,0,NA,Bad
KR Mayers,"Punjab Cricket Association IS Bindra Stadium, Mohali",1,4,6,4.0,0,NA,Excellent
KR Mayers,"Rajiv Gandhi International Stadium, Hyderabad",1,11,7,9.43,0,NA,Poor
KR Sen,"Dr DY Patil Sports Academy, Mumbai",3,114,64,10.69,2,32.0,Bad
KR Sen,"Eden Gardens, Kolkata",1,50,26,11.54,2,13.0,Good
KR Sen,"MA Chidambaram Stadium, Chennai",1,9,12,4.5,0,NA,Excellent
KR Sen,Maharaja Yadavindra Singh International Cricket St (Mullanpur) ,1,35,24,8.75,1,24.0,Average
KR Sen,"Maharashtra Cricket Association Stadium, Pune",1,20,21,5.71,4,5.25,Excellent
KR Sen,"Sawai Mansingh Stadium, Jaipur",1,42,29,8.69,3,9.666666666666666,Excellent
KR Sen,"Wankhede Stadium, Mumbai",4,126,79,9.57,2,39.5,Poor
KT Maphaka,"Rajiv Gandhi International Stadium, Hyderabad",1,67,27,14.89,0,NA,Bad
KT Maphaka,"Wankhede Stadium, Mumbai",1,23,12,11.5,1,12.0,Excellent
KV Sharma,"Arun Jaitley Stadium, Delhi",1,37,18,12.33,1,18.0,Average
KV Sharma,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",1,20,24,5.0,2,12.0,Excellent
KV Sharma,"Eden Gardens, Kolkata",2,60,42,8.57,2,21.0,Average
KV Sharma,Himachal Pradesh Cricket Association Stadium (Dharamsala),1,36,18,12.0,2,9.0,Excellent
KV Sharma,"M.Chinnaswamy Stadium, Bengaluru",5,158,80,11.85,4,20.0,Average
KV Sharma,"MA Chidambaram Stadium, Chennai",1,24,12,12.0,1,12.0,Excellent
KV Sharma,"Narendra Modi Stadium, Ahmedabad",2,57,33,10.36,1,33.0,Bad
KV Sharma,"Rajiv Gandhi International Stadium, Hyderabad",2,74,45,9.87,2,22.5,Poor
KV Sharma,"Sawai Mansingh Stadium, Jaipur",1,19,9,12.67,3,3.0,Excellent
Kartik Tyagi,"Brabourne Stadium, Mumbai",1,37,26,8.54,0,NA,Average
Kartik Tyagi,"Narendra Modi Stadium, Ahmedabad",1,52,26,12.0,0,NA,Bad
Kartik Tyagi,"Rajiv Gandhi International Stadium, Hyderabad",2,51,24,12.75,1,24.0,Poor
Kartik Tyagi,"Wankhede Stadium, Mumbai",2,83,48,10.38,1,48.0,Bad
Kuldeep Yadav,"Arun Jaitley Stadium, Delhi",12,375,253,8.89,12,21.08333333333333,Average
Kuldeep Yadav,"Barsapara Cricket Stadium, Guwahati",1,31,24,7.75,1,24.0,Good
Kuldeep Yadav,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2,57,49,6.98,4,12.25,Excellent
Kuldeep Yadav,"Brabourne Stadium, Mumbai",4,117,98,7.16,10,9.8,Excellent
Kuldeep Yadav,"Dr DY Patil Sports Academy, Mumbai",4,108,78,8.31,4,19.5,Average
Kuldeep Yadav,"Eden Gardens, Kolkata",1,34,24,8.5,0,NA,Average
Kuldeep Yadav,Himachal Pradesh Cricket Association Stadium (Dharamsala),1,21,19,6.63,0,NA,Excellent
Kuldeep Yadav,"M.Chinnaswamy Stadium, Bengaluru",2,78,49,9.55,3,16.333333333333332,Poor
Kuldeep Yadav,"MA Chidambaram Stadium, Chennai",1,29,27,6.44,1,27.0,Excellent
Kuldeep Yadav,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",1,21,24,5.25,2,12.0,Excellent
Kuldeep Yadav,"Maharashtra Cricket Association Stadium, Pune",1,32,24,8.0,1,24.0,Average
Kuldeep Yadav,"Narendra Modi Stadium, Ahmedabad",2,33,48,4.12,1,48.0,Excellent
Kuldeep Yadav,"Rajiv Gandhi International Stadium, Hyderabad",1,22,24,5.5,1,24.0,Excellent
Kuldeep Yadav,"Sawai Mansingh Stadium, Jaipur",1,41,26,9.46,1,26.0,Poor
Kuldeep Yadav,"Wankhede Stadium, Mumbai",5,163,106,9.23,6,17.666666666666668,Average
L Wood,"Arun Jaitley Stadium, Delhi",1,68,24,17.0,1,24.0,Poor
L Wood,"Narendra Modi Stadium, Ahmedabad",1,26,14,11.14,0,NA,Bad
LB Williams,"Arun Jaitley Stadium, Delhi",1,34,22,9.27,0,NA,Poor
LB Williams,"Eden Gardens, Kolkata",1,40,20,12.0,1,20.0,Average
LH Ferguson,"Brabourne Stadium, Mumbai",3,105,74,8.51,5,14.8,Good
LH Ferguson,"Dr DY Patil Sports Academy, Mumbai",4,134,96,8.38,6,16.0,Good
LH Ferguson,"Eden Gardens, Kolkata",2,84,39,12.92,1,39.0,Bad
LH Ferguson,Himachal Pradesh Cricket Association Stadium (Dharamsala),1,31,18,10.33,3,6.0,Excellent
LH Ferguson,"M.Chinnaswamy Stadium, Bengaluru",3,117,68,10.32,5,13.6,Good
LH Ferguson,"Maharashtra Cricket Association Stadium, Pune",2,75,49,9.18,5,9.8,Excellent
LH Ferguson,"Narendra Modi Stadium, Ahmedabad",3,101,68,8.91,1,68.0,Average
LH Ferguson,"Rajiv Gandhi International Stadium, Hyderabad",1,28,12,14.0,0,NA,Bad
LH Ferguson,"Wankhede Stadium, Mumbai",4,116,71,9.8,1,71.0,Poor
LS Livingstone,"Brabourne Stadium, Mumbai",2,37,25,8.88,2,12.5,Average
LS Livingstone,"Dr DY Patil Sports Academy, Mumbai",4,75,60,7.5,4,15.0,Good
LS Livingstone,"Eden Gardens, Kolkata",1,27,12,13.5,0,NA,Bad
LS Livingstone,Himachal Pradesh Cricket Association Stadium (Dharamsala),1,28,19,8.84,0,NA,Average
LS Livingstone,"MA Chidambaram Stadium, Chennai",1,16,6,16.0,0,NA,Bad
LS Livingstone,Maharaja Yadavindra Singh International Cricket St (Mullanpur) ,1,21,19,6.63,1,19.0,Excellent
LS Livingstone,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",2,37,37,6.0,2,18.5,Excellent
LS Livingstone,"Maharashtra Cricket Association Stadium, Pune",2,34,19,10.74,0,NA,Bad
LS Livingstone,"Punjab Cricket Association IS Bindra Stadium, Mohali",2,28,12,14.0,1,12.0,Excellent
LS Livingstone,"Wankhede Stadium, Mumbai",5,79,52,9.12,1,52.0,Poor
Lalit Yadav,"Arun Jaitley Stadium, Delhi",3,97,51,11.41,1,51.0,Bad
Lalit Yadav,"Brabourne Stadium, Mumbai",3,34,30,6.8,3,10.0,Excellent
Lalit Yadav,"Dr DY Patil Sports Academy, Mumbai",2,29,31,5.61,1,31.0,Excellent
Lalit Yadav,"M.Chinnaswamy Stadium, Bengaluru",1,30,25,7.2,1,25.0,Good
Lalit Yadav,"MA Chidambaram Stadium, Chennai",1,35,18,11.67,1,18.0,Average
Lalit Yadav,"Wankhede Stadium, Mumbai",4,104,55,11.35,0,NA,Bad
M Ashwin,"Barsapara Cricket Stadium, Guwahati",1,11,7,9.43,0,NA,Poor
M Ashwin,"Brabourne Stadium, Mumbai",3,76,72,6.33,5,14.4,Excellent
