batter,bowler,total_runs_against_bowler,balls_faced,strike_rate,total_dismissals,bowled,caught,caught and bowled,lbw,stumped,performance,bowling_type
RD Gaikwad,Rashid Khan,108,66,163.6363636,2,1,1,0,0,0,Good,Right Leg Spin
JC Buttler,Yash Dayal,92,42,219.047619,0,0,0,0,0,0,Excellent,Left Fast
YBK Jaiswal,B Kumar,85,46,184.7826087,0,0,0,0,0,0,Very Good,Right Fast
Shubman Gill,R Ashwin,84,55,152.7272727,0,0,0,0,0,0,Good,Right Off Spin
F du Plessis,Ravi Bishnoi,77,46,167.3913043,0,0,0,0,0,0,Good,Right Leg Spin
KL Rahul,Mohammed Siraj,76,49,155.1020408,1,0,1,0,0,0,Good,Right Fast
Shubman Gill,K Rabada,76,55,138.1818182,2,0,2,0,0,0,Average,Right Fast
F du Plessis,TA Boult,75,62,120.9677419,2,0,2,0,0,0,Poor,Left Fast
KL Rahul,DL Chahar,73,41,178.0487805,0,0,0,0,0,0,Very Good,Right Mid Fast
N Rana,T Natarajan,73,46,158.6956522,2,0,2,0,0,0,Good,Left Mid Fast
SV Samson,Rashid Khan,72,50,144,0,0,0,0,0,0,Good,Right Leg Spin
SA Yadav,Rashid Khan,70,38,184.2105263,0,0,0,0,0,0,Very Good,Right Leg Spin
V Kohli,Avesh Khan,70,42,166.6666667,2,1,1,0,0,0,Good,Right Fast
HH Pandya,R Ashwin,69,41,168.2926829,0,0,0,0,0,0,Good,Right Off Spin
RD Gaikwad,B Kumar,69,49,140.8163265,0,0,0,0,0,0,Good,Right Fast
V Kohli,Arshdeep Singh,69,41,168.2926829,1,0,1,0,0,0,Good,Left Fast
AK Markram,CV Varun,68,39,174.3589744,2,0,2,0,0,0,Very Good,Right Leg Spin
V Kohli,Rashid Khan,68,50,136,1,0,0,0,0,1,Average,Right Leg Spin
WP Saha,DL Chahar,67,52,128.8461538,3,0,3,0,0,0,Average,Right Mid Fast
Tilak Varma,YS Chahal,66,39,169.2307692,1,0,1,0,0,0,Good,Right Leg Spin
F du Plessis,Sandeep Sharma,65,46,141.3043478,0,0,0,0,0,0,Good,Right Mid Fast
V Kohli,B Kumar,65,38,171.0526316,2,0,1,0,1,0,Very Good,Right Fast
Abhishek Sharma,Rashid Khan,63,30,210,1,0,1,0,0,0,Excellent,Right Leg Spin
HH Pandya,Ravi Bishnoi,63,30,210,0,0,0,0,0,0,Excellent,Right Leg Spin
N Pooran,CV Varun,63,41,153.6585366,2,1,1,0,0,0,Good,Right Leg Spin
V Kohli,Mohammed Shami,63,49,128.5714286,1,1,0,0,0,0,Average,Right Fast
AD Russell,B Kumar,62,28,221.4285714,0,0,0,0,0,0,Excellent,Right Fast
KL Rahul,Mustafizur Rahman,62,46,134.7826087,1,0,1,0,0,0,Average,Left Fast
RR Pant,MM Sharma,62,19,326.3157895,0,0,0,0,0,0,Excellent,Right Mid Fast
SV Samson,KK Ahmed,62,45,137.7777778,1,0,1,0,0,0,Average,Left Fast
V Kohli,Harpreet Brar,62,56,110.7142857,2,1,1,0,0,0,Poor,Left Off Spin
KL Rahul,C Sakariya,61,38,160.5263158,3,0,3,0,0,0,Good,Left Mid Fast
Shubman Gill,RA Jadeja,61,43,141.8604651,1,0,0,0,0,1,Good,Left Off Spin
SA Yadav,K Rabada,60,31,193.5483871,1,0,1,0,0,0,Very Good,Right Fast
Shubman Gill,TU Deshpande,60,38,157.8947368,2,0,2,0,0,0,Good,Right Fast
Ishan Kishan,AR Patel,59,36,163.8888889,1,0,0,1,0,0,Good,Left Off Spin
KL Rahul,YS Chahal,59,38,155.2631579,0,0,0,0,0,0,Good,Right Leg Spin
SV Samson,Arshdeep Singh,59,34,173.5294118,1,0,1,0,0,0,Very Good,Left Fast
DA Warner,RA Jadeja,58,31,187.0967742,0,0,0,0,0,0,Very Good,Left Off Spin
F du Plessis,B Kumar,58,30,193.3333333,0,0,0,0,0,0,Very Good,Right Fast
F du Plessis,LH Ferguson,58,29,200,0,0,0,0,0,0,Excellent,Right Fast
JC Buttler,KK Ahmed,58,40,145,0,0,0,0,0,0,Good,Left Fast
JM Bairstow,TA Boult,58,30,193.3333333,0,0,0,0,0,0,Very Good,Left Fast
Shubman Gill,YS Chahal,58,48,120.8333333,3,0,1,0,0,2,Poor,Right Leg Spin
Shubman Gill,Avesh Khan,58,45,128.8888889,2,0,2,0,0,0,Average,Right Fast
V Kohli,KH Pandya,58,56,103.5714286,0,0,0,0,0,0,Poor,Left Off Spin
Abhishek Sharma,Mukesh Choudhary,57,27,211.1111111,1,0,1,0,0,0,Excellent,Left Fast
F du Plessis,Harpreet Brar,57,31,183.8709677,0,0,0,0,0,0,Very Good,Left Off Spin
S Dhawan,B Kumar,57,53,107.5471698,2,0,1,0,0,1,Poor,Right Fast
F du Plessis,Arshdeep Singh,56,51,109.8039216,1,0,1,0,0,0,Poor,Left Fast
RD Gaikwad,AR Patel,56,36,155.5555556,1,0,1,0,0,0,Good,Left Off Spin
DA Warner,K Rabada,55,28,196.4285714,0,0,0,0,0,0,Very Good,Right Fast
DJ Hooda,TA Boult,55,36,152.7777778,0,0,0,0,0,0,Good,Left Fast
RA Tripathi,RD Chahar,55,31,177.4193548,2,0,2,0,0,0,Very Good,Right Leg Spin
SS Iyer,AR Patel,55,37,148.6486486,0,0,0,0,0,0,Good,Left Off Spin
V Kohli,Noor Ahmad,55,38,144.7368421,1,0,1,0,0,0,Good,Left Leg Spin
DA Miller,Avesh Khan,54,32,168.75,2,0,2,0,0,0,Good,Right Fast
DA Miller,M Prasidh Krishna,54,32,168.75,0,0,0,0,0,0,Good,Right Fast
DA Warner,TA Boult,54,45,120,0,0,0,0,0,0,Poor,Left Fast
F du Plessis,JD Unadkat,54,24,225,1,0,1,0,0,0,Excellent,Left Mid Fast
JC Buttler,Mohammed Shami,54,45,120,1,1,0,0,0,0,Poor,Right Fast
KD Karthik,Mustafizur Rahman,54,28,192.8571429,0,0,0,0,0,0,Very Good,Left Fast
RA Jadeja,HV Patel,54,24,225,1,0,1,0,0,0,Excellent,Right Mid Fast
SA Yadav,SM Curran,54,24,225,1,0,1,0,0,0,Excellent,Left Mid Fast
Shubman Gill,DL Chahar,54,41,131.7073171,4,0,2,0,2,0,Average,Right Mid Fast
Shubman Gill,HV Patel,54,42,128.5714286,1,0,1,0,0,0,Average,Right Mid Fast
B Sai Sudharsan,RA Jadeja,53,28,189.2857143,0,0,0,0,0,0,Very Good,Left Off Spin
Ishan Kishan,SN Thakur,53,26,203.8461538,0,0,0,0,0,0,Excellent,Right Fast
KL Rahul,JJ Bumrah,53,49,108.1632653,0,0,0,0,0,0,Poor,Right Fast
RD Gaikwad,Mohammed Siraj,53,42,126.1904762,1,0,1,0,0,0,Average,Right Fast
S Dube,CV Varun,53,30,176.6666667,1,0,1,0,0,0,Very Good,Right Leg Spin
V Kohli,SM Curran,53,33,160.6060606,1,0,1,0,0,0,Good,Left Mid Fast
V Kohli,T Natarajan,53,29,182.7586207,0,0,0,0,0,0,Very Good,Left Mid Fast
YBK Jaiswal,Sandeep Sharma,53,31,170.9677419,1,1,0,0,0,0,Very Good,Right Mid Fast
DA Warner,DL Chahar,52,37,140.5405405,1,0,1,0,0,0,Good,Right Mid Fast
F du Plessis,PJ Cummins,52,26,200,1,0,1,0,0,0,Excellent,Right Fast
Ishan Kishan,Mohammed Siraj,52,41,126.8292683,1,0,1,0,0,0,Average,Right Fast
JC Buttler,Mohammed Siraj,52,39,133.3333333,2,2,0,0,0,0,Average,Right Fast
N Pooran,SN Thakur,52,18,288.8888889,2,0,2,0,0,0,Excellent,Right Fast
PP Shaw,DL Chahar,52,36,144.4444444,1,0,1,0,0,0,Good,Right Mid Fast
Q de Kock,AD Russell,52,19,273.6842105,0,0,0,0,0,0,Excellent,Right Fast
Rashid Khan,CJ Jordan,52,18,288.8888889,0,0,0,0,0,0,Excellent,Right Fast
RD Gaikwad,Yash Dayal,52,32,162.5,2,0,2,0,0,0,Good,Left Fast
S Dhawan,DJ Bravo,52,30,173.3333333,1,0,1,0,0,0,Very Good,Right Mid Fast
Shubman Gill,Mohammed Siraj,52,43,120.9302326,1,0,1,0,0,0,Poor,Right Fast
AR Patel,Rashid Khan,51,34,150,0,0,0,0,0,0,Good,Right Leg Spin
JC Buttler,Kuldeep Yadav,51,29,175.862069,1,0,0,0,1,0,Very Good,Left Leg Spin
RD Gaikwad,SP Narine,51,34,150,1,0,1,0,0,0,Good,Right Off Spin
RG Sharma,Mustafizur Rahman,51,31,164.516129,1,0,1,0,0,0,Good,Left Fast
SA Yadav,SP Narine,51,42,121.4285714,0,0,0,0,0,0,Poor,Right Off Spin
AD Russell,SM Curran,50,19,263.1578947,2,1,1,0,0,0,Excellent,Left Mid Fast
DP Conway,M Jansen,50,26,192.3076923,0,0,0,0,0,0,Very Good,Left Fast
F du Plessis,Avesh Khan,50,36,138.8888889,1,0,0,0,1,0,Average,Right Fast
H Klaasen,YS Chahal,50,24,208.3333333,1,0,1,0,0,0,Excellent,Right Leg Spin
KL Rahul,Avesh Khan,50,30,166.6666667,1,0,1,0,0,0,Good,Right Fast
RR Pant,Rashid Khan,50,36,138.8888889,0,0,0,0,0,0,Average,Right Leg Spin
Shubman Gill,Arshdeep Singh,50,40,125,1,1,0,0,0,0,Average,Left Fast
Shubman Gill,AR Patel,50,40,125,0,0,0,0,0,0,Average,Left Off Spin
SV Samson,Yash Thakur,50,22,227.2727273,0,0,0,0,0,0,Excellent,Right Fast
GJ Maxwell,R Ashwin,49,30,163.3333333,2,0,2,0,0,0,Good,Right Off Spin
Ishan Kishan,KK Ahmed,49,28,175,0,0,0,0,0,0,Very Good,Left Fast
JC Buttler,CV Varun,49,25,196,1,0,0,0,1,0,Very Good,Right Leg Spin
KL Rahul,R Ashwin,49,42,116.6666667,0,0,0,0,0,0,Poor,Right Off Spin
N Rana,Lalit Yadav,49,23,213.0434783,1,0,1,0,0,0,Excellent,Right Off Spin
R Parag,HV Patel,49,30,163.3333333,3,0,2,0,1,0,Good,Right Mid Fast
S Dhawan,CV Varun,49,49,100,2,1,1,0,0,0,Poor,Right Leg Spin
SV Samson,Ravi Bishnoi,49,25,196,0,0,0,0,0,0,Very Good,Right Leg Spin
Tilak Varma,R Ashwin,49,43,113.9534884,1,1,0,0,0,0,Poor,Right Off Spin
VR Iyer,B Kumar,49,37,132.4324324,0,0,0,0,0,0,Average,Right Fast
D Padikkal,Mustafizur Rahman,48,32,150,1,1,0,0,0,0,Good,Left Fast
D Padikkal,K Rabada,48,26,184.6153846,0,0,0,0,0,0,Very Good,Right Fast
HH Pandya,YS Chahal,48,53,90.56603774,3,0,3,0,0,0,Poor,Right Leg Spin
MM Ali,R Ashwin,48,39,123.0769231,1,0,1,0,0,0,Poor,Right Off Spin
Q de Kock,TG Southee,48,27,177.7777778,0,0,0,0,0,0,Very Good,Right Mid Fast
Shubman Gill,RD Chahar,48,29,165.5172414,1,0,1,0,0,0,Good,Right Leg Spin
SM Curran,YS Chahal,48,23,208.6956522,0,0,0,0,0,0,Excellent,Right Leg Spin
V Kohli,Yash Dayal,48,26,184.6153846,0,0,0,0,0,0,Very Good,Left Fast
DJ Hooda,YS Chahal,47,32,146.875,2,0,1,0,0,1,Good,Right Leg Spin
GJ Maxwell,Avesh Khan,47,23,204.3478261,0,0,0,0,0,0,Excellent,Right Fast
GJ Maxwell,RD Chahar,47,28,167.8571429,0,0,0,0,0,0,Good,Right Leg Spin
PD Salt,Mohammed Siraj,47,19,247.3684211,1,0,1,0,0,0,Excellent,Right Fast
RD Gaikwad,AS Joseph,47,25,188,1,0,1,0,0,0,Very Good,Right Fast
S Dhawan,Mohammed Shami,47,30,156.6666667,0,0,0,0,0,0,Good,Right Fast
SO Hetmyer,Mohammed Siraj,47,32,146.875,2,0,2,0,0,0,Good,Right Fast
TH David,T Natarajan,47,18,261.1111111,0,0,0,0,0,0,Excellent,Left Mid Fast
GJ Maxwell,CV Varun,46,30,153.3333333,3,2,1,0,0,0,Good,Right Leg Spin
MP Stoinis,RD Chahar,46,27,170.3703704,2,1,0,1,0,0,Very Good,Right Leg Spin
R Tewatia,HV Patel,46,30,153.3333333,0,0,0,0,0,0,Good,Right Mid Fast
RD Gaikwad,A Nortje,46,32,143.75,2,0,2,0,0,0,Good,Right Fast
RD Gaikwad,K Rabada,46,40,115,2,0,2,0,0,0,Poor,Right Fast
RR Pant,VR Iyer,46,19,242.1052632,0,0,0,0,0,0,Excellent,Right Mid Fast
SO Hetmyer,SM Curran,46,21,219.047619,1,0,1,0,0,0,Excellent,Left Mid Fast
SO Hetmyer,HV Patel,46,32,143.75,0,0,0,0,0,0,Good,Right Mid Fast
V Kohli,TA Boult,46,43,106.9767442,1,0,0,0,1,0,Poor,Left Fast
YBK Jaiswal,PP Chawla,46,23,200,0,0,0,0,0,0,Excellent,Right Leg Spin
AK Markram,SP Narine,45,52,86.53846154,1,0,1,0,0,0,Poor,Right Off Spin
F du Plessis,R Ashwin,45,40,112.5,0,0,0,0,0,0,Poor,Right Off Spin
Ishan Kishan,SP Narine,45,30,150,1,0,1,0,0,0,Good,Right Off Spin
JC Buttler,B Kumar,45,40,112.5,2,0,1,0,1,0,Poor,Right Fast
JC Buttler,Sandeep Sharma,45,22,204.5454545,1,1,0,0,0,0,Excellent,Right Mid Fast
KL Rahul,B Kumar,45,43,104.6511628,1,0,1,0,0,0,Poor,Right Fast
Nithish Kumar Reddy,Harpreet Brar,45,20,225,0,0,0,0,0,0,Excellent,Left Off Spin
RD Gaikwad,Mohammed Shami,45,60,75,0,0,0,0,0,0,Poor,Right Fast
RM Patidar,Ravi Bishnoi,45,21,214.2857143,0,0,0,0,0,0,Excellent,Right Leg Spin
S Dube,SN Thakur,45,33,136.3636364,0,0,0,0,0,0,Average,Right Fast
SA Yadav,R Ashwin,45,26,173.0769231,0,0,0,0,0,0,Very Good,Right Off Spin
Shubman Gill,PP Chawla,45,24,187.5,1,0,1,0,0,0,Very Good,Right Leg Spin
SV Samson,Mohsin Khan,45,23,195.6521739,0,0,0,0,0,0,Very Good,Left Fast
YBK Jaiswal,SM Curran,45,31,145.1612903,1,1,0,0,0,0,Good,Left Mid Fast
YBK Jaiswal,RP Meredith,45,20,225,0,0,0,0,0,0,Excellent,Right Fast
F du Plessis,JO Holder,44,33,133.3333333,2,0,2,0,0,0,Average,Right Mid Fast
Ishan Kishan,B Kumar,44,26,169.2307692,1,0,1,0,0,0,Good,Right Fast
KD Karthik,AD Russell,44,20,220,1,0,1,0,0,0,Excellent,Right Fast
KL Rahul,JR Hazlewood,44,33,133.3333333,1,0,1,0,0,0,Average,Right Fast
KL Rahul,TG Southee,44,21,209.5238095,0,0,0,0,0,0,Excellent,Right Mid Fast
N Rana,Umran Malik,44,27,162.962963,1,0,1,0,0,0,Good,Right Fast
P Simran Singh,I Sharma,44,28,157.1428571,0,0,0,0,0,0,Good,Right Mid Fast
Shubman Gill,TA Boult,44,38,115.7894737,0,0,0,0,0,0,Poor,Left Fast
Tilak Varma,Kuldeep Yadav,44,22,200,0,0,0,0,0,0,Excellent,Left Leg Spin
Abhishek Sharma,Yash Thakur,43,15,286.6666667,0,0,0,0,0,0,Excellent,Right Fast
B Sai Sudharsan,TU Deshpande,43,25,172,1,0,1,0,0,0,Very Good,Right Fast
DP Conway,Kuldeep Yadav,43,20,215,0,0,0,0,0,0,Excellent,Left Leg Spin
GJ Maxwell,YS Chahal,43,23,186.9565217,0,0,0,0,0,0,Very Good,Right Leg Spin
H Klaasen,Noor Ahmad,43,16,268.75,0,0,0,0,0,0,Excellent,Left Leg Spin
JM Bairstow,Mohammed Siraj,43,20,215,1,0,1,0,0,0,Excellent,Right Fast
KL Rahul,DR Sams,43,31,138.7096774,0,0,0,0,0,0,Average,Left Mid Fast
MM Ali,TA Boult,43,19,226.3157895,0,0,0,0,0,0,Excellent,Left Fast
MP Stoinis,Mustafizur Rahman,43,21,204.7619048,1,0,1,0,0,0,Excellent,Left Fast
N Pooran,Arshdeep Singh,43,27,159.2592593,1,0,0,0,1,0,Good,Left Fast
Q de Kock,Mohammed Siraj,43,26,165.3846154,1,0,1,0,0,0,Good,Right Fast
RA Tripathi,JJ Bumrah,43,22,195.4545455,0,0,0,0,0,0,Very Good,Right Fast
RG Sharma,B Kumar,43,29,148.2758621,0,0,0,0,0,0,Good,Right Fast
RM Patidar,M Markande,43,16,268.75,1,0,1,0,0,0,Excellent,Right Leg Spin
S Dhawan,SP Narine,43,37,116.2162162,0,0,0,0,0,0,Poor,Right Off Spin
SA Yadav,HV Patel,43,33,130.3030303,0,0,0,0,0,0,Average,Right Mid Fast
Shubman Gill,KH Pandya,43,39,110.2564103,1,0,1,0,0,0,Poor,Left Off Spin
Shubman Gill,C Green,43,15,286.6666667,0,0,0,0,0,0,Excellent,Right Fast
SP Narine,K Rabada,43,15,286.6666667,0,0,0,0,0,0,Excellent,Right Fast
D Padikkal,Arshdeep Singh,42,30,140,2,0,2,0,0,0,Good,Left Fast
DA Miller,YS Chahal,42,22,190.9090909,0,0,0,0,0,0,Very Good,Right Leg Spin
F du Plessis,Mohammed Shami,42,29,144.8275862,1,0,1,0,0,0,Good,Right Fast
F du Plessis,JP Behrendorff,42,20,210,0,0,0,0,0,0,Excellent,Left Fast
KL Rahul,SN Thakur,42,23,182.6086957,1,0,1,0,0,0,Very Good,Right Fast
N Rana,R Ashwin,42,29,144.8275862,0,0,0,0,0,0,Good,Right Off Spin
WP Saha,Arshdeep Singh,42,27,155.5555556,1,0,1,0,0,0,Good,Left Fast
AD Russell,T Natarajan,41,25,164,0,0,0,0,0,0,Good,Left Mid Fast
AD Russell,Yash Dayal,41,19,215.7894737,0,0,0,0,0,0,Excellent,Left Fast
F du Plessis,CV Varun,41,31,132.2580645,2,1,1,0,0,0,Average,Right Leg Spin
GJ Maxwell,Rashid Khan,41,28,146.4285714,1,1,0,0,0,0,Good,Right Leg Spin
KL Rahul,Shahbaz Ahmed,41,42,97.61904762,1,0,1,0,0,0,Poor,Left Off Spin
RA Tripathi,AD Russell,41,22,186.3636364,3,0,3,0,0,0,Very Good,Right Fast
RA Tripathi,R Ashwin,41,19,215.7894737,0,0,0,0,0,0,Excellent,Right Off Spin
RR Pant,Ravi Bishnoi,41,34,120.5882353,1,0,0,0,0,1,Poor,Right Leg Spin
SA Yadav,JO Holder,41,24,170.8333333,1,0,1,0,0,0,Very Good,Right Mid Fast
Shubman Gill,MJ Santner,41,24,170.8333333,0,0,0,0,0,0,Very Good,Left Off Spin
SV Samson,Washington Sundar,41,18,227.7777778,1,0,1,0,0,0,Excellent,Right Off Spin
SV Samson,Mohammed Shami,41,26,157.6923077,0,0,0,0,0,0,Good,Right Fast
B Sai Sudharsan,A Nortje,40,20,200,0,0,0,0,0,0,Excellent,Right Fast
DA Warner,YS Chahal,40,32,125,1,0,0,0,1,0,Average,Right Leg Spin
F du Plessis,KH Pandya,40,36,111.1111111,0,0,0,0,0,0,Poor,Left Off Spin
F du Plessis,RD Chahar,40,33,121.2121212,0,0,0,0,0,0,Poor,Right Leg Spin
GJ Maxwell,AR Patel,40,30,133.3333333,0,0,0,0,0,0,Average,Left Off Spin
JC Buttler,M Theekshana,40,28,142.8571429,0,0,0,0,0,0,Good,Right Off Spin
JC Buttler,UT Yadav,40,29,137.9310345,0,0,0,0,0,0,Average,Right Fast
KD Karthik,M Theekshana,40,22,181.8181818,0,0,0,0,0,0,Very Good,Right Off Spin
KL Rahul,K Rabada,40,27,148.1481481,3,0,3,0,0,0,Good,Right Fast
KL Rahul,HV Patel,40,29,137.9310345,1,0,1,0,0,0,Average,Right Mid Fast
KL Rahul,JD Unadkat,40,22,181.8181818,0,0,0,0,0,0,Very Good,Left Mid Fast
MM Ali,YS Chahal,40,29,137.9310345,0,0,0,0,0,0,Average,Right Leg Spin
Q de Kock,K Rabada,40,22,181.8181818,0,0,0,0,0,0,Very Good,Right Fast
RA Jadeja,MM Sharma,40,20,200,0,0,0,0,0,0,Excellent,Right Mid Fast
RD Gaikwad,Arshdeep Singh,40,38,105.2631579,3,1,2,0,0,0,Poor,Left Fast
RD Gaikwad,RD Chahar,40,37,108.1081081,1,0,1,0,0,0,Poor,Right Leg Spin
RD Gaikwad,Umran Malik,40,23,173.9130435,0,0,0,0,0,0,Very Good,Right Fast
RG Sharma,Mohammed Siraj,40,37,108.1081081,0,0,0,0,0,0,Poor,Right Fast
RV Uthappa,Avesh Khan,40,20,200,0,0,0,0,0,0,Excellent,Right Fast
S Dhawan,DL Chahar,40,23,173.9130435,0,0,0,0,0,0,Very Good,Right Mid Fast
S Dhawan,YS Chahal,40,21,190.4761905,0,0,0,0,0,0,Very Good,Right Leg Spin
SA Yadav,Mohammed Siraj,40,17,235.2941176,1,0,1,0,0,0,Excellent,Right Fast
SA Yadav,AS Joseph,40,16,250,0,0,0,0,0,0,Excellent,Right Fast
SV Samson,UT Yadav,40,26,153.8461538,0,0,0,0,0,0,Good,Right Fast
V Kohli,MA Starc,40,20,200,0,0,0,0,0,0,Excellent,Left Fast
YBK Jaiswal,Mohammed Siraj,40,33,121.2121212,1,0,1,0,0,0,Poor,Right Fast
Abhishek Sharma,SP Narine,39,23,169.5652174,0,0,0,0,0,0,Good,Right Off Spin
DA Warner,Arshdeep Singh,39,29,134.4827586,0,0,0,0,0,0,Average,Left Fast
DA Warner,Mohammed Siraj,39,22,177.2727273,0,0,0,0,0,0,Very Good,Right Fast
JM Sharma,YS Chahal,39,33,118.1818182,2,0,2,0,0,0,Poor,Right Leg Spin
KH Pandya,HV Patel,39,29,134.4827586,1,0,1,0,0,0,Average,Right Mid Fast
N Rana,YS Chahal,39,34,114.7058824,4,0,4,0,0,0,Poor,Right Leg Spin
N Rana,Rashid Khan,39,32,121.875,0,0,0,0,0,0,Poor,Right Leg Spin
Q de Kock,TU Deshpande,39,27,144.4444444,0,0,0,0,0,0,Good,Right Fast
RK Singh,T Natarajan,39,28,139.2857143,3,0,2,0,1,0,Average,Left Mid Fast
SA Yadav,M Jansen,39,13,300,1,0,1,0,0,0,Excellent,Left Fast
SA Yadav,PJ Cummins,39,33,118.1818182,1,0,1,0,0,0,Poor,Right Fast
Shubman Gill,SN Thakur,39,30,130,0,0,0,0,0,0,Average,Right Fast
SO Hetmyer,Arshdeep Singh,39,26,150,0,0,0,0,0,0,Good,Left Fast
SV Samson,CV Varun,39,24,162.5,0,0,0,0,0,0,Good,Right Leg Spin
VR Iyer,Yash Dayal,39,18,216.6666667,1,0,1,0,0,0,Excellent,Left Fast
WG Jacks,MM Sharma,39,12,325,0,0,0,0,0,0,Excellent,Right Mid Fast
YBK Jaiswal,Akash Singh,39,17,229.4117647,0,0,0,0,0,0,Excellent,Left Mid Fast
A Badoni,T Natarajan,38,20,190,0,0,0,0,0,0,Very Good,Left Mid Fast
Abhishek Sharma,Kuldeep Yadav,38,13,292.3076923,2,0,1,1,0,0,Excellent,Left Leg Spin
B Sai Sudharsan,M Pathirana,38,23,165.2173913,2,0,1,0,1,0,Good,Right Fast
C Green,Noor Ahmad,38,22,172.7272727,1,1,0,0,0,0,Very Good,Left Leg Spin
F du Plessis,KK Ahmed,38,23,165.2173913,1,0,1,0,0,0,Good,Left Fast
JM Bairstow,CV Varun,38,17,223.5294118,0,0,0,0,0,0,Excellent,Right Leg Spin
KD Karthik,T Natarajan,38,21,180.952381,1,0,1,0,0,0,Very Good,Left Mid Fast
KL Rahul,TA Boult,38,38,100,1,1,0,0,0,0,Poor,Left Fast
MP Stoinis,C Green,38,27,140.7407407,0,0,0,0,0,0,Good,Right Fast
PJ Cummins,SM Curran,38,12,316.6666667,0,0,0,0,0,0,Excellent,Left Mid Fast
RD Gaikwad,Yash Thakur,38,20,190,1,0,1,0,0,0,Very Good,Right Fast
RD Gaikwad,SM Curran,38,23,165.2173913,0,0,0,0,0,0,Good,Left Mid Fast
S Dhawan,T Natarajan,38,21,180.952381,0,0,0,0,0,0,Very Good,Left Mid Fast
SA Yadav,Ravi Bishnoi,38,31,122.5806452,3,1,2,0,0,0,Poor,Right Leg Spin
SA Yadav,Arshdeep Singh,38,31,122.5806452,1,0,1,0,0,0,Poor,Left Fast
SV Samson,PWH de Silva,38,32,118.75,3,1,0,1,0,1,Poor,Right Leg Spin
Tilak Varma,Ravi Bishnoi,38,21,180.952381,0,0,0,0,0,0,Very Good,Right Leg Spin
V Kohli,CH Morris,38,19,200,0,0,0,0,0,0,Excellent,Right Mid Fast
WP Saha,K Rabada,38,30,126.6666667,4,0,4,0,0,0,Average,Right Fast
YBK Jaiswal,JR Hazlewood,38,13,292.3076923,1,0,1,0,0,0,Excellent,Right Fast
DA Miller,R Ashwin,37,36,102.7777778,1,0,0,0,0,1,Poor,Right Off Spin
DA Warner,SM Curran,37,28,132.1428571,1,0,1,0,0,0,Average,Left Mid Fast
DA Warner,SP Narine,37,29,127.5862069,0,0,0,0,0,0,Average,Right Off Spin
GJ Maxwell,Ravi Bishnoi,37,20,185,1,0,0,0,1,0,Very Good,Right Leg Spin
HH Pandya,KK Ahmed,37,26,142.3076923,3,0,3,0,0,0,Good,Left Fast
HH Pandya,A Nortje,37,30,123.3333333,1,0,1,0,0,0,Poor,Right Fast
HH Pandya,M Prasidh Krishna,37,24,154.1666667,1,0,1,0,0,0,Good,Right Fast
JC Buttler,JJ Bumrah,37,51,72.54901961,1,1,0,0,0,0,Poor,Right Fast
JJ Roy,Shahbaz Ahmed,37,19,194.7368421,0,0,0,0,0,0,Very Good,Left Off Spin
KA Pollard,SN Thakur,37,19,194.7368421,0,0,0,0,0,0,Very Good,Right Fast
KD Karthik,Arshdeep Singh,37,22,168.1818182,3,1,2,0,0,0,Good,Left Fast
MA Agarwal,K Rabada,37,14,264.2857143,0,0,0,0,0,0,Excellent,Right Fast
MM Ali,Avesh Khan,37,23,160.8695652,1,1,0,0,0,0,Good,Right Fast
MP Stoinis,PP Chawla,37,31,119.3548387,1,0,0,0,1,0,Poor,Right Leg Spin
PP Shaw,RA Jadeja,37,20,185,2,0,2,0,0,0,Very Good,Left Off Spin
PP Shaw,Mohammed Shami,37,17,217.6470588,1,0,1,0,0,0,Excellent,Right Fast
RA Tripathi,KH Pandya,37,30,123.3333333,1,0,1,0,0,0,Poor,Left Off Spin
RA Tripathi,SP Narine,37,34,108.8235294,1,0,1,0,0,0,Poor,Right Off Spin
RD Gaikwad,PJ Cummins,37,17,217.6470588,0,0,0,0,0,0,Excellent,Right Fast
RG Sharma,CV Varun,37,36,102.7777778,1,0,1,0,0,0,Poor,Right Leg Spin
RK Singh,Naveen-ul-Haq,37,19,194.7368421,1,0,1,0,0,0,Very Good,Right Fast
RK Singh,Yash Dayal,37,12,308.3333333,1,0,1,0,0,0,Excellent,Left Fast
SA Yadav,CV Varun,37,40,92.5,0,0,0,0,0,0,Poor,Right Leg Spin
SP Narine,Ravi Bishnoi,37,21,176.1904762,1,0,1,0,0,0,Very Good,Right Leg Spin
SP Narine,YS Chahal,37,17,217.6470588,0,0,0,0,0,0,Excellent,Right Leg Spin
Tilak Varma,M Markande,37,24,154.1666667,0,0,0,0,0,0,Good,Right Leg Spin
V Kohli,RD Chahar,37,35,105.7142857,0,0,0,0,0,0,Poor,Right Leg Spin
VR Iyer,RP Meredith,37,16,231.25,1,0,1,0,0,0,Excellent,Right Fast
WP Saha,KK Ahmed,37,29,127.5862069,1,0,1,0,0,0,Average,Left Fast
YBK Jaiswal,RD Chahar,37,23,160.8695652,1,0,0,1,0,0,Good,Right Leg Spin
YBK Jaiswal,Mohammed Shami,37,30,123.3333333,0,0,0,0,0,0,Poor,Right Fast
AB de Villiers,AD Russell,36,15,240,1,1,0,0,0,0,Excellent,Right Fast
DA Miller,CJ Jordan,36,21,171.4285714,0,0,0,0,0,0,Very Good,Right Fast
