batter,venue,total_runs,matches_played,batting_average,Performance
KD Karthik,"M.Chinnaswamy Stadium, Bengaluru",237,14,16.928571428571427,Poor
KD Karthik,"MA Chidambaram Stadium, Chennai",38,1,38.0,Good
KD Karthik,"Maharashtra Cricket Association Stadium, Pune",39,3,13.0,Poor
KD Karthik,"Narendra Modi Stadium, Ahmedabad",17,2,8.5,Bad
KD Karthik,"Punjab Cricket Association IS Bindra Stadium, Mohali",7,1,7.0,Bad
KD Karthik,"Rajiv Gandhi International Stadium, Hyderabad",11,1,11.0,Poor
KD Karthik,"Sawai Mansingh Stadium, Jaipur",0,1,0.0,Bad
KD Karthik,"Wankhede Stadium, Mumbai",225,6,37.5,Good
KH Pandya,"Arun Jaitley Stadium, Delhi",18,1,18.0,Poor
KH Pandya,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",222,13,17.076923076923077,Poor
KH Pandya,"Brabourne Stadium, Mumbai",26,2,13.0,Poor
KH Pandya,"Dr DY Patil Sports Academy, Mumbai",67,3,22.33333333333333,Average
KH Pandya,"Eden Gardens, Kolkata",16,3,5.333333333333333,Bad
KH Pandya,"M.Chinnaswamy Stadium, Bengaluru",0,1,0.0,Bad
KH Pandya,"MA Chidambaram Stadium, Chennai",17,2,8.5,Bad
KH Pandya,"Maharashtra Cricket Association Stadium, Pune",37,3,12.333333333333334,Poor
KH Pandya,"Narendra Modi Stadium, Ahmedabad",0,1,0.0,Bad
KH Pandya,"Punjab Cricket Association IS Bindra Stadium, Mohali",5,1,5.0,Bad
KH Pandya,"Rajiv Gandhi International Stadium, Hyderabad",24,1,24.0,Average
KH Pandya,"Sawai Mansingh Stadium, Jaipur",7,2,3.5,Bad
KH Pandya,"Wankhede Stadium, Mumbai",65,5,13.0,Poor
KK Ahmed,"Dr DY Patil Sports Academy, Mumbai",0,1,0.0,Bad
KK Ahmed,"Maharashtra Cricket Association Stadium, Pune",0,1,0.0,Bad
KK Nair,"Brabourne Stadium, Mumbai",3,1,3.0,Bad
KK Nair,"Wankhede Stadium, Mumbai",13,1,13.0,Poor
KL Rahul,"Arun Jaitley Stadium, Delhi",5,1,5.0,Bad
KL Rahul,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",483,12,40.25,Excellent
KL Rahul,"Brabourne Stadium, Mumbai",153,3,51.0,Excellent
KL Rahul,"Dr DY Patil Sports Academy, Mumbai",190,4,47.5,Excellent
KL Rahul,"Eden Gardens, Kolkata",118,2,59.0,Excellent
KL Rahul,"M.Chinnaswamy Stadium, Bengaluru",38,2,19.0,Poor
KL Rahul,"MA Chidambaram Stadium, Chennai",36,2,18.0,Poor
KL Rahul,"Maharashtra Cricket Association Stadium, Pune",14,2,7.0,Bad
KL Rahul,"Punjab Cricket Association IS Bindra Stadium, Mohali",12,1,12.0,Poor
KL Rahul,"Rajiv Gandhi International Stadium, Hyderabad",29,1,29.0,Average
KL Rahul,"Sawai Mansingh Stadium, Jaipur",97,2,48.5,Excellent
KL Rahul,"Wankhede Stadium, Mumbai",235,5,47.0,Excellent
KM Asif,"Sawai Mansingh Stadium, Jaipur",0,1,0.0,Bad
KM Jadhav,"Wankhede Stadium, Mumbai",12,1,12.0,Poor
KR Mayers,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",153,6,25.5,Average
KR Mayers,"M.Chinnaswamy Stadium, Bengaluru",0,1,0.0,Bad
KR Mayers,"MA Chidambaram Stadium, Chennai",71,2,35.5,Good
KR Mayers,"Narendra Modi Stadium, Ahmedabad",48,1,48.0,Excellent
KR Mayers,"Punjab Cricket Association IS Bindra Stadium, Mohali",54,1,54.0,Excellent
KR Mayers,"Rajiv Gandhi International Stadium, Hyderabad",2,1,2.0,Bad
KR Mayers,"Sawai Mansingh Stadium, Jaipur",51,1,51.0,Excellent
KR Sen,"Dr DY Patil Sports Academy, Mumbai",0,1,0.0,Bad
KS Bharat,"Dr DY Patil Sports Academy, Mumbai",8,2,4.0,Bad
KS Sharma,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",9,1,9.0,Bad
KS Sharma,"Eden Gardens, Kolkata",3,1,3.0,Bad
KS Sharma,"Maharashtra Cricket Association Stadium, Pune",4,1,4.0,Bad
KS Williamson,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",1,1,1.0,Bad
KS Williamson,"Brabourne Stadium, Mumbai",37,3,12.333333333333334,Poor
KS Williamson,"Dr DY Patil Sports Academy, Mumbai",108,4,27.0,Average
KS Williamson,"Maharashtra Cricket Association Stadium, Pune",58,3,19.33333333333333,Poor
KS Williamson,"Narendra Modi Stadium, Ahmedabad",26,1,26.0,Average
KS Williamson,"Wankhede Stadium, Mumbai",13,2,6.5,Bad
KV Sharma,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2,1,2.0,Bad
KV Sharma,"Eden Gardens, Kolkata",21,2,10.5,Poor
KV Sharma,"M.Chinnaswamy Stadium, Bengaluru",6,1,6.0,Bad
KV Sharma,"Narendra Modi Stadium, Ahmedabad",5,1,5.0,Bad
Kartik Tyagi,"Brabourne Stadium, Mumbai",7,1,7.0,Bad
Kartik Tyagi,"Wankhede Stadium, Mumbai",0,1,0.0,Bad
Kuldeep Yadav,"Arun Jaitley Stadium, Delhi",16,6,2.6666666666666665,Bad
Kuldeep Yadav,"Barsapara Cricket Stadium, Guwahati",3,1,3.0,Bad
Kuldeep Yadav,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",6,1,6.0,Bad
Kuldeep Yadav,"Dr DY Patil Sports Academy, Mumbai",7,2,3.5,Bad
Kuldeep Yadav,"Eden Gardens, Kolkata",35,1,35.0,Good
Kuldeep Yadav,"M.Chinnaswamy Stadium, Bengaluru",13,2,6.5,Bad
Kuldeep Yadav,"MA Chidambaram Stadium, Chennai",0,1,0.0,Bad
Kuldeep Yadav,Maharaja Yadavindra Singh International Cricket St (Mullanpur),1,1,1.0,Bad
Kuldeep Yadav,"Maharashtra Cricket Association Stadium, Pune",14,1,14.0,Poor
Kuldeep Yadav,"Narendra Modi Stadium, Ahmedabad",0,1,0.0,Bad
Kuldeep Yadav,"Rajiv Gandhi International Stadium, Hyderabad",4,1,4.0,Bad
Kuldeep Yadav,"Wankhede Stadium, Mumbai",27,4,6.75,Bad
Kumar Kushagra,"Eden Gardens, Kolkata",1,1,1.0,Bad
Kumar Kushagra,"M.Chinnaswamy Stadium, Bengaluru",2,1,2.0,Bad
Kumar Kushagra,"Wankhede Stadium, Mumbai",0,1,0.0,Bad
L Wood,"Arun Jaitley Stadium, Delhi",9,1,9.0,Bad
LB Williams,"Eden Gardens, Kolkata",1,1,1.0,Bad
LH Ferguson,"Dr DY Patil Sports Academy, Mumbai",5,2,2.5,Bad
LH Ferguson,"Eden Gardens, Kolkata",1,1,1.0,Bad
LS Livingstone,"Arun Jaitley Stadium, Delhi",4,1,4.0,Bad
LS Livingstone,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",28,1,28.0,Average
LS Livingstone,"Brabourne Stadium, Mumbai",196,4,49.0,Excellent
LS Livingstone,"Dr DY Patil Sports Academy, Mumbai",112,4,28.0,Average
LS Livingstone,"Eden Gardens, Kolkata",15,1,15.0,Poor
LS Livingstone,Himachal Pradesh Cricket Association Stadium (Dharamsala),103,3,34.333333333333336,Good
LS Livingstone,"M.Chinnaswamy Stadium, Bengaluru",17,1,17.0,Poor
LS Livingstone,"MA Chidambaram Stadium, Chennai",40,1,40.0,Excellent
LS Livingstone,Maharaja Yadavindra Singh International Cricket St (Mullanpur),45,3,15.0,Poor
LS Livingstone,Maharaja Yadavindra Singh International Cricket St (Mullanpur) ,21,1,21.0,Average
LS Livingstone,"Maharashtra Cricket Association Stadium, Pune",20,2,10.0,Poor
LS Livingstone,"Punjab Cricket Association IS Bindra Stadium, Mohali",107,3,35.666666666666664,Good
LS Livingstone,"Wankhede Stadium, Mumbai",119,5,23.8,Average
Lalit Yadav,"Arun Jaitley Stadium, Delhi",19,4,4.75,Bad
Lalit Yadav,"Barsapara Cricket Stadium, Guwahati",38,1,38.0,Good
Lalit Yadav,"Brabourne Stadium, Mumbai",49,2,24.5,Average
Lalit Yadav,"Dr DY Patil Sports Academy, Mumbai",24,1,24.0,Average
Lalit Yadav,"M.Chinnaswamy Stadium, Bengaluru",4,1,4.0,Bad
Lalit Yadav,"MA Chidambaram Stadium, Chennai",12,1,12.0,Poor
Lalit Yadav,"Maharashtra Cricket Association Stadium, Pune",25,1,25.0,Average
Lalit Yadav,"Wankhede Stadium, Mumbai",66,5,13.2,Poor
Liton Das,"Arun Jaitley Stadium, Delhi",4,1,4.0,Bad
M Ashwin,"Brabourne Stadium, Mumbai",6,1,6.0,Bad
M Ashwin,"Dr DY Patil Sports Academy, Mumbai",6,2,3.0,Bad
M Ashwin,"Maharashtra Cricket Association Stadium, Pune",0,1,0.0,Bad
M Jansen,"Eden Gardens, Kolkata",1,1,1.0,Bad
M Jansen,"MA Chidambaram Stadium, Chennai",17,1,17.0,Poor
M Jansen,"Maharashtra Cricket Association Stadium, Pune",1,1,1.0,Bad
M Jansen,"Narendra Modi Stadium, Ahmedabad",3,1,3.0,Bad
M Jansen,"Rajiv Gandhi International Stadium, Hyderabad",16,3,5.333333333333333,Bad
M Jansen,"Sawai Mansingh Stadium, Jaipur",3,1,3.0,Bad
M Jansen,"Wankhede Stadium, Mumbai",25,2,12.5,Poor
M Markande,"Narendra Modi Stadium, Ahmedabad",18,1,18.0,Poor
M Markande,"Rajiv Gandhi International Stadium, Hyderabad",3,2,1.5,Bad
M Prasidh Krishna,"Dr DY Patil Sports Academy, Mumbai",4,1,4.0,Bad
M Prasidh Krishna,"Maharashtra Cricket Association Stadium, Pune",2,1,2.0,Bad
M Shahrukh Khan,"Arun Jaitley Stadium, Delhi",10,2,5.0,Bad
M Shahrukh Khan,"Barsapara Cricket Stadium, Guwahati",11,1,11.0,Poor
M Shahrukh Khan,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",23,1,23.0,Average
M Shahrukh Khan,"Brabourne Stadium, Mumbai",33,3,11.0,Poor
M Shahrukh Khan,"Dr DY Patil Sports Academy, Mumbai",50,2,25.0,Average
M Shahrukh Khan,"Eden Gardens, Kolkata",21,1,21.0,Average
M Shahrukh Khan,Himachal Pradesh Cricket Association Stadium (Dharamsala),47,2,23.5,Average
M Shahrukh Khan,"M.Chinnaswamy Stadium, Bengaluru",37,1,37.0,Good
M Shahrukh Khan,"MA Chidambaram Stadium, Chennai",2,1,2.0,Bad
M Shahrukh Khan,Maharaja Yadavindra Singh International Cricket St (Mullanpur),8,1,8.0,Bad
M Shahrukh Khan,"Maharashtra Cricket Association Stadium, Pune",15,1,15.0,Poor
M Shahrukh Khan,"Narendra Modi Stadium, Ahmedabad",60,3,20.0,Average
M Shahrukh Khan,"Punjab Cricket Association IS Bindra Stadium, Mohali",46,4,11.5,Poor
M Shahrukh Khan,"Rajiv Gandhi International Stadium, Hyderabad",4,1,4.0,Bad
M Shahrukh Khan,"Sawai Mansingh Stadium, Jaipur",14,1,14.0,Poor
M Shahrukh Khan,"Wankhede Stadium, Mumbai",19,2,9.5,Bad
M Theekshana,"Maharashtra Cricket Association Stadium, Pune",7,1,7.0,Bad
M Theekshana,"Wankhede Stadium, Mumbai",0,1,0.0,Bad
M Vohra,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",10,1,10.0,Poor
M Vohra,"Eden Gardens, Kolkata",19,1,19.0,Poor
MA Agarwal,"Arun Jaitley Stadium, Delhi",5,1,5.0,Bad
MA Agarwal,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",8,1,8.0,Bad
MA Agarwal,"Brabourne Stadium, Mumbai",52,4,13.0,Poor
MA Agarwal,"Dr DY Patil Sports Academy, Mumbai",32,2,16.0,Poor
MA Agarwal,"Eden Gardens, Kolkata",41,2,20.5,Average
MA Agarwal,"MA Chidambaram Stadium, Chennai",2,1,2.0,Bad
MA Agarwal,"Maharashtra Cricket Association Stadium, Pune",77,2,38.5,Good
MA Agarwal,"Narendra Modi Stadium, Ahmedabad",16,1,16.0,Poor
MA Agarwal,"Rajiv Gandhi International Stadium, Hyderabad",174,6,29.0,Average
MA Agarwal,"Wankhede Stadium, Mumbai",123,6,20.5,Average
MA Starc,Dr YS Rajasekhara Reddy Cricket Stadium (Visakhapatnam),1,1,1.0,Bad
MA Starc,"Eden Gardens, Kolkata",8,2,4.0,Bad
MA Starc,"MA Chidambaram Stadium, Chennai",0,1,0.0,Bad
MA Starc,"Wankhede Stadium, Mumbai",0,1,0.0,Bad
MA Wood,"M.Chinnaswamy Stadium, Bengaluru",1,1,1.0,Bad
MA Wood,"MA Chidambaram Stadium, Chennai",10,1,10.0,Poor
MD Shanaka,"M.Chinnaswamy Stadium, Bengaluru",0,1,0.0,Bad
MD Shanaka,"MA Chidambaram Stadium, Chennai",17,1,17.0,Poor
MD Shanaka,"Narendra Modi Stadium, Ahmedabad",9,1,9.0,Bad
MG Bracewell,"Eden Gardens, Kolkata",19,1,19.0,Poor
MG Bracewell,"M.Chinnaswamy Stadium, Bengaluru",26,1,26.0,Average
MG Bracewell,"Rajiv Gandhi International Stadium, Hyderabad",4,1,4.0,Bad
MG Bracewell,"Sawai Mansingh Stadium, Jaipur",9,1,9.0,Bad
MJ Santner,"Brabourne Stadium, Mumbai",1,1,1.0,Bad
MJ Santner,"Dr DY Patil Sports Academy, Mumbai",11,1,11.0,Poor
MJ Santner,Himachal Pradesh Cricket Association Stadium (Dharamsala),11,1,11.0,Poor
MJ Santner,"M.Chinnaswamy Stadium, Bengaluru",3,1,3.0,Bad
MJ Santner,"MA Chidambaram Stadium, Chennai",1,1,1.0,Bad
MJ Santner,"Narendra Modi Stadium, Ahmedabad",1,2,0.5,Bad
MJ Santner,"Wankhede Stadium, Mumbai",10,2,5.0,Bad
MJ Suthar,"M.Chinnaswamy Stadium, Bengaluru",1,1,1.0,Bad
MK Lomror,"Arun Jaitley Stadium, Delhi",54,1,54.0,Excellent
MK Lomror,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",3,1,3.0,Bad
MK Lomror,"Brabourne Stadium, Mumbai",22,2,11.0,Poor
MK Lomror,"Eden Gardens, Kolkata",18,2,9.0,Bad
MK Lomror,Himachal Pradesh Cricket Association Stadium (Dharamsala),0,1,0.0,Bad
MK Lomror,"M.Chinnaswamy Stadium, Bengaluru",151,10,15.1,Poor
MK Lomror,"Maharashtra Cricket Association Stadium, Pune",42,1,42.0,Excellent
MK Lomror,"Narendra Modi Stadium, Ahmedabad",40,2,20.0,Average
MK Lomror,"Punjab Cricket Association IS Bindra Stadium, Mohali",7,1,7.0,Bad
MK Lomror,"Rajiv Gandhi International Stadium, Hyderabad",7,1,7.0,Bad
MK Lomror,"Sawai Mansingh Stadium, Jaipur",1,1,1.0,Bad
MK Lomror,"Wankhede Stadium, Mumbai",1,2,0.5,Bad
MK Pandey,"Arun Jaitley Stadium, Delhi",48,4,12.0,Poor
MK Pandey,"Barsapara Cricket Stadium, Guwahati",0,1,0.0,Bad
MK Pandey,"Brabourne Stadium, Mumbai",43,2,21.5,Average
MK Pandey,"Dr DY Patil Sports Academy, Mumbai",17,2,8.5,Bad
MK Pandey,"M.Chinnaswamy Stadium, Bengaluru",50,1,50.0,Excellent
MK Pandey,"MA Chidambaram Stadium, Chennai",27,1,27.0,Average
MK Pandey,"Narendra Modi Stadium, Ahmedabad",1,1,1.0,Bad
MK Pandey,"Rajiv Gandhi International Stadium, Hyderabad",34,1,34.0,Good
MK Pandey,"Wankhede Stadium, Mumbai",70,3,23.33333333333333,Average
MM Ali,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",30,1,30.0,Good
MM Ali,"Brabourne Stadium, Mumbai",128,3,42.66666666666666,Excellent
MM Ali,"Dr DY Patil Sports Academy, Mumbai",60,3,20.0,Average
MM Ali,Himachal Pradesh Cricket Association Stadium (Dharamsala),17,1,17.0,Poor
MM Ali,"M.Chinnaswamy Stadium, Bengaluru",19,1,19.0,Poor
MM Ali,"MA Chidambaram Stadium, Chennai",84,9,9.333333333333334,Bad
MM Ali,"Maharashtra Cricket Association Stadium, Pune",35,2,17.5,Poor
MM Ali,"Narendra Modi Stadium, Ahmedabad",79,2,39.5,Good
MM Ali,"Sawai Mansingh Stadium, Jaipur",23,1,23.0,Average
MM Ali,"Wankhede Stadium, Mumbai",21,2,10.5,Poor
MM Sharma,"M.Chinnaswamy Stadium, Bengaluru",0,1,0.0,Bad
MM Sharma,"Narendra Modi Stadium, Ahmedabad",2,2,1.0,Bad
MP Stoinis,"Arun Jaitley Stadium, Delhi",5,1,5.0,Bad
MP Stoinis,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",336,14,24.0,Average
MP Stoinis,"Brabourne Stadium, Mumbai",37,2,18.5,Poor
MP Stoinis,"Dr DY Patil Sports Academy, Mumbai",24,1,24.0,Average
MP Stoinis,"Eden Gardens, Kolkata",19,3,6.333333333333333,Bad
MP Stoinis,"M.Chinnaswamy Stadium, Bengaluru",89,2,44.5,Excellent
MP Stoinis,"MA Chidambaram Stadium, Chennai",185,3,61.66666666666666,Excellent
MP Stoinis,"Maharashtra Cricket Association Stadium, Pune",31,3,10.333333333333334,Poor
MP Stoinis,"Narendra Modi Stadium, Ahmedabad",4,1,4.0,Bad
MP Stoinis,"Punjab Cricket Association IS Bindra Stadium, Mohali",72,1,72.0,Excellent
MP Stoinis,"Rajiv Gandhi International Stadium, Hyderabad",43,2,21.5,Average
MP Stoinis,"Sawai Mansingh Stadium, Jaipur",24,2,12.0,Poor
MP Stoinis,"Wankhede Stadium, Mumbai",83,4,20.75,Average
MR Marsh,"Arun Jaitley Stadium, Delhi",98,5,19.6,Poor
MR Marsh,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",0,1,0.0,Bad
MR Marsh,"Brabourne Stadium, Mumbai",10,1,10.0,Poor
MR Marsh,"Dr DY Patil Sports Academy, Mumbai",177,3,59.0,Excellent
MR Marsh,Dr YS Rajasekhara Reddy Cricket Stadium (Visakhapatnam),0,1,0.0,Bad
MR Marsh,Dr YS Rajasekhara Reddy Cricket Stadium (Visakhapatnam) ,18,1,18.0,Poor
MR Marsh,"M.Chinnaswamy Stadium, Bengaluru",0,1,0.0,Bad
MR Marsh,"MA Chidambaram Stadium, Chennai",5,1,5.0,Bad
MR Marsh,Maharaja Yadavindra Singh International Cricket St (Mullanpur),20,1,20.0,Average
MR Marsh,"Rajiv Gandhi International Stadium, Hyderabad",25,1,25.0,Average
MR Marsh,"Sawai Mansingh Stadium, Jaipur",23,1,23.0,Average
MR Marsh,"Wankhede Stadium, Mumbai",64,4,16.0,Poor
MS Dhoni,"Arun Jaitley Stadium, Delhi",5,1,5.0,Bad
MS Dhoni,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",28,1,28.0,Average
MS Dhoni,"Brabourne Stadium, Mumbai",65,3,21.666666666666668,Average
MS Dhoni,"Dr DY Patil Sports Academy, Mumbai",52,3,17.333333333333332,Poor
MS Dhoni,Dr YS Rajasekhara Reddy Cricket Stadium (Visakhapatnam) ,37,1,37.0,Good
MS Dhoni,"Eden Gardens, Kolkata",2,1,2.0,Bad
MS Dhoni,Himachal Pradesh Cricket Association Stadium (Dharamsala),0,1,0.0,Bad
MS Dhoni,"M.Chinnaswamy Stadium, Bengaluru",26,2,13.0,Poor
MS Dhoni,"MA Chidambaram Stadium, Chennai",106,11,9.636363636363637,Bad
MS Dhoni,"Maharashtra Cricket Association Stadium, Pune",10,2,5.0,Bad
MS Dhoni,"Narendra Modi Stadium, Ahmedabad",40,3,13.333333333333334,Poor
MS Dhoni,"Rajiv Gandhi International Stadium, Hyderabad",1,1,1.0,Bad
MS Dhoni,"Wankhede Stadium, Mumbai",125,5,25.0,Average
MS Wade,"Brabourne Stadium, Mumbai",6,1,6.0,Bad
MS Wade,"Dr DY Patil Sports Academy, Mumbai",31,2,15.5,Poor
MS Wade,"Eden Gardens, Kolkata",35,1,35.0,Good
MS Wade,"Maharashtra Cricket Association Stadium, Pune",11,2,5.5,Bad
MS Wade,"Narendra Modi Stadium, Ahmedabad",8,1,8.0,Bad
MS Wade,"Sawai Mansingh Stadium, Jaipur",4,1,4.0,Bad
MS Wade,"Wankhede Stadium, Mumbai",66,3,22.0,Average
MW Short,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",34,1,34.0,Good
MW Short,"Punjab Cricket Association IS Bindra Stadium, Mohali",71,3,23.666666666666668,Average
MW Short,"Rajiv Gandhi International Stadium, Hyderabad",1,1,1.0,Bad
MW Short,"Wankhede Stadium, Mumbai",11,1,11.0,Poor
Mandeep Singh,"Arun Jaitley Stadium, Delhi",12,1,12.0,Poor
Mandeep Singh,"Brabourne Stadium, Mumbai",0,2,0.0,Bad
Mandeep Singh,"Eden Gardens, Kolkata",0,1,0.0,Bad
Mandeep Singh,"Maharashtra Cricket Association Stadium, Pune",18,1,18.0,Poor
Mandeep Singh,"Punjab Cricket Association IS Bindra Stadium, Mohali",2,1,2.0,Bad
Mayank Dagar,"M.Chinnaswamy Stadium, Bengaluru",0,1,0.0,Bad
Mohammad Nabi,"Arun Jaitley Stadium, Delhi",7,1,7.0,Bad
Mohammad Nabi,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",1,1,1.0,Bad
Mohammad Nabi,Maharaja Yadavindra Singh International Cricket St (Mullanpur),0,1,0.0,Bad
Mohammad Nabi,"Sawai Mansingh Stadium, Jaipur",23,1,23.0,Average
Mohammad Nabi,"Wankhede Stadium, Mumbai",4,1,4.0,Bad
Mohammed Shami,"MA Chidambaram Stadium, Chennai",5,1,5.0,Bad
Mohammed Shami,"Narendra Modi Stadium, Ahmedabad",0,1,0.0,Bad
Mohammed Siraj,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",0,1,0.0,Bad
Mohammed Siraj,"Brabourne Stadium, Mumbai",11,2,5.5,Bad
Mohammed Siraj,"Dr DY Patil Sports Academy, Mumbai",14,1,14.0,Poor
Mohammed Siraj,"M.Chinnaswamy Stadium, Bengaluru",13,2,6.5,Bad
Mohammed Siraj,"Maharashtra Cricket Association Stadium, Pune",5,1,5.0,Bad
Mohit Rathee,"Rajiv Gandhi International Stadium, Hyderabad",1,1,1.0,Bad
Mohsin Khan,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2,1,2.0,Bad
Mohsin Khan,"Brabourne Stadium, Mumbai",9,1,9.0,Bad
Mohsin Khan,"MA Chidambaram Stadium, Chennai",0,1,0.0,Bad
Mohsin Khan,"Maharashtra Cricket Association Stadium, Pune",14,2,7.0,Bad
Mukesh Choudhary,"Brabourne Stadium, Mumbai",2,1,2.0,Bad
Mukesh Choudhary,"Wankhede Stadium, Mumbai",4,1,4.0,Bad
Mukesh Kumar,"Arun Jaitley Stadium, Delhi",6,2,3.0,Bad
Mukesh Kumar,"Barsapara Cricket Stadium, Guwahati",1,1,1.0,Bad
Mukesh Kumar,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",0,1,0.0,Bad
Mukesh Kumar,"M.Chinnaswamy Stadium, Bengaluru",3,1,3.0,Bad
Mustafizur Rahman,"Arun Jaitley Stadium, Delhi",1,1,1.0,Bad
Mustafizur Rahman,"Maharashtra Cricket Association Stadium, Pune",3,1,3.0,Bad
N Jagadeesan,"Brabourne Stadium, Mumbai",1,1,1.0,Bad
N Jagadeesan,"Eden Gardens, Kolkata",56,3,18.666666666666668,Poor
N Jagadeesan,"M.Chinnaswamy Stadium, Bengaluru",27,1,27.0,Average
N Jagadeesan,"Narendra Modi Stadium, Ahmedabad",6,1,6.0,Bad
N Jagadeesan,"Wankhede Stadium, Mumbai",39,2,19.5,Poor
N Pooran,"Arun Jaitley Stadium, Delhi",61,1,61.0,Excellent
N Pooran,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",217,14,15.5,Poor
N Pooran,"Brabourne Stadium, Mumbai",67,2,33.5,Good
N Pooran,"Dr DY Patil Sports Academy, Mumbai",108,4,27.0,Average
N Pooran,"Eden Gardens, Kolkata",103,2,51.5,Excellent
N Pooran,"M.Chinnaswamy Stadium, Bengaluru",102,2,51.0,Excellent
N Pooran,"MA Chidambaram Stadium, Chennai",66,3,22.0,Average
N Pooran,"Maharashtra Cricket Association Stadium, Pune",66,3,22.0,Average
N Pooran,"Narendra Modi Stadium, Ahmedabad",3,1,3.0,Bad
N Pooran,"Punjab Cricket Association IS Bindra Stadium, Mohali",45,1,45.0,Excellent
N Pooran,"Rajiv Gandhi International Stadium, Hyderabad",92,2,46.0,Excellent
N Pooran,"Sawai Mansingh Stadium, Jaipur",93,2,46.5,Excellent
N Pooran,"Wankhede Stadium, Mumbai",140,5,28.0,Average
N Rana,"Arun Jaitley Stadium, Delhi",4,1,4.0,Bad
N Rana,"Brabourne Stadium, Mumbai",102,3,34.0,Good
N Rana,"Dr DY Patil Sports Academy, Mumbai",97,4,24.25,Average
N Rana,"Eden Gardens, Kolkata",230,9,25.55555555555556,Average
N Rana,"M.Chinnaswamy Stadium, Bengaluru",48,1,48.0,Excellent
N Rana,"MA Chidambaram Stadium, Chennai",57,1,57.0,Excellent
N Rana,"Maharashtra Cricket Association Stadium, Pune",36,3,12.0,Poor
N Rana,"Narendra Modi Stadium, Ahmedabad",45,1,45.0,Excellent
N Rana,"Punjab Cricket Association IS Bindra Stadium, Mohali",24,1,24.0,Average
N Rana,"Rajiv Gandhi International Stadium, Hyderabad",42,1,42.0,Excellent
N Rana,"Wankhede Stadium, Mumbai",131,5,26.2,Average
N Wadhera,"Arun Jaitley Stadium, Delhi",4,1,4.0,Bad
N Wadhera,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",62,2,31.0,Good
N Wadhera,"Eden Gardens, Kolkata",3,1,3.0,Bad
N Wadhera,"M.Chinnaswamy Stadium, Bengaluru",21,1,21.0,Average
N Wadhera,"MA Chidambaram Stadium, Chennai",87,2,43.5,Excellent
N Wadhera,"Narendra Modi Stadium, Ahmedabad",44,2,22.0,Average
N Wadhera,"Sawai Mansingh Stadium, Jaipur",49,1,49.0,Excellent
N Wadhera,"Wankhede Stadium, Mumbai",80,6,13.333333333333334,Poor
NM Coulter-Nile,"Maharashtra Cricket Association Stadium, Pune",1,1,1.0,Bad
NT Ellis,"Brabourne Stadium, Mumbai",0,1,0.0,Bad
NT Ellis,"Punjab Cricket Association IS Bindra Stadium, Mohali",1,1,1.0,Bad
NT Ellis,"Rajiv Gandhi International Stadium, Hyderabad",0,1,0.0,Bad
Naman Dhir,"Eden Gardens, Kolkata",17,1,17.0,Poor
Naman Dhir,"Narendra Modi Stadium, Ahmedabad",20,1,20.0,Average
Naman Dhir,"Rajiv Gandhi International Stadium, Hyderabad",30,1,30.0,Good
Naman Dhir,"Wankhede Stadium, Mumbai",73,4,18.25,Poor
Navdeep Saini,"Dr DY Patil Sports Academy, Mumbai",2,1,2.0,Bad
Naveen-ul-Haq,"Arun Jaitley Stadium, Delhi",2,1,2.0,Bad
Naveen-ul-Haq,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",13,1,13.0,Poor
