Player,Runs,Balls_Faced,Fours,Sixes,Not_Outs,Dismissals,Batting_Average,Strike_Rate,Wickets,Overs_Bowled,Runs_Conceded,Economy,Bowling_Strike_Rate,Bowling_Average,Catches,Stumpings,Run_Outs,Matches_Played
SN Khan,144.0,135.0,13.0,3.0,False,9.0,16.0,106.67,NA,NA,NA,NA,NA,NA,6.0,0.0,1.0,14
SN Thakur,259.0,186.0,22.0,12.0,False,18.0,14.39,139.25,50.0,20.0,1553.0,77.65,2.4,31.06,16.0,0.0,0.0,67
SO Hetmyer,968.0,651.0,61.0,63.0,False,27.0,35.85,148.69,NA,NA,NA,NA,NA,NA,22.0,0.0,1.0,60
SP Jackson,23.0,26.0,0.0,1.0,False,4.0,5.75,NA,NA,NA,NA,NA,NA,NA,5.0,2.0,0.0,8
SP Narine,642.0,411.0,61.0,45.0,False,35.0,18.34,156.2,57.0,18.0,1453.0,80.72,1.89,25.49,12.0,0.0,1.0,87
SPD Smith,152.0,136.0,13.0,2.0,False,6.0,25.33,111.76,NA,NA,NA,NA,NA,NA,10.0,0.0,1.0,14
SS Iyer,927.0,741.0,82.0,30.0,False,28.0,33.11,125.1,0.0,1.0,7.0,7.0,NA,NA,21.0,0.0,5.0,54
SS Prabhudessai,126.0,113.0,11.0,4.0,False,9.0,14.0,111.5,NA,NA,NA,NA,NA,NA,10.0,0.0,3.0,16
SS Tiwary,115.0,99.0,10.0,2.0,False,2.0,57.5,116.16,NA,NA,NA,NA,NA,NA,1.0,0.0,0.0,5
SV Samson,1835.0,1300.0,161.0,91.0,False,51.0,35.98,141.15,NA,NA,NA,NA,NA,NA,30.0,10.0,8.0,82
SW Billings,169.0,143.0,9.0,10.0,False,7.0,24.14,118.18,NA,NA,NA,NA,NA,NA,6.0,1.0,0.0,12
SZ Mulani,1.0,1.0,0.0,0.0,True,0.0,1.0,NA,0.0,5.0,57.0,11.4,NA,NA,NA,NA,NA,3
Sachin Baby,7.0,17.0,0.0,0.0,False,1.0,7.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Sameer Rizvi,51.0,43.0,4.0,2.0,False,4.0,12.75,NA,NA,NA,NA,NA,NA,NA,4.0,0.0,0.0,8
Sandeep Sharma,10.0,14.0,1.0,0.0,True,0.0,10.0,NA,36.0,20.0,1072.0,53.6,3.33,29.78,9.0,0.0,1.0,38
Sanvir Singh,25.0,22.0,2.0,1.0,False,2.0,12.5,NA,NA,NA,NA,NA,NA,NA,3.0,0.0,0.0,5
Saurav Chauhan,18.0,16.0,1.0,1.0,False,3.0,6.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
Shahbaz Ahmed,535.0,466.0,28.0,25.0,False,29.0,18.45,114.81,19.0,17.0,805.0,47.35,5.37,42.37,19.0,0.0,2.0,69
Shakib Al Hasan,47.0,50.0,3.0,1.0,False,5.0,9.4,94.0,5.0,11.0,188.0,17.09,13.2,37.6,3.0,0.0,1.0,9
Shashank Singh,423.0,272.0,33.0,25.0,False,11.0,38.45,155.51,1.0,3.0,25.0,8.33,18.0,25.0,10.0,0.0,1.0,27
Shivam Mavi,28.0,29.0,2.0,2.0,False,4.0,7.0,NA,17.0,18.0,471.0,26.17,6.35,27.71,10.0,0.0,0.0,19
Shivam Singh,2.0,3.0,0.0,0.0,True,0.0,2.0,NA,NA,NA,NA,NA,NA,NA,2.0,0.0,0.0,1
Shubman Gill,2277.0,1666.0,223.0,71.0,False,59.0,38.59,136.67,NA,NA,NA,NA,NA,NA,20.0,0.0,0.0,72
Sikandar Raza,182.0,143.0,12.0,8.0,False,7.0,26.0,127.27,3.0,8.0,146.0,18.25,16.0,48.67,5.0,0.0,0.0,11
Simarjeet Singh,7.0,8.0,0.0,0.0,False,1.0,7.0,NA,10.0,15.0,265.0,17.67,9.0,26.5,3.0,0.0,0.0,13
Sumit Kumar,18.0,26.0,2.0,1.0,False,2.0,9.0,NA,0.0,4.0,38.0,9.5,NA,NA,1.0,0.0,2.0,7
Swapnil Singh,39.0,26.0,3.0,3.0,False,2.0,19.5,NA,6.0,9.0,151.0,16.78,9.0,25.17,2.0,0.0,1.0,15
T Kohler-Cadmore,48.0,54.0,7.0,1.0,False,3.0,16.0,88.89,NA,NA,NA,NA,NA,NA,1.0,0.0,0.0,3
T Shamsi,2.0,4.0,0.0,0.0,True,0.0,2.0,NA,0.0,4.0,34.0,8.5,NA,NA,NA,NA,NA,2
T Stubbs,405.0,239.0,26.0,26.0,False,9.0,45.0,169.46,4.0,4.0,29.0,7.25,6.0,7.25,7.0,0.0,1.0,23
TA Boult,71.0,67.0,5.0,2.0,False,4.0,17.75,105.97,61.0,18.0,1674.0,93.0,1.77,27.44,13.0,0.0,0.0,67
TG Southee,5.0,17.0,0.0,0.0,False,5.0,1.0,NA,23.0,15.0,458.0,30.53,3.91,19.91,5.0,0.0,0.0,20
TH David,659.0,417.0,38.0,46.0,False,23.0,28.65,158.03,NA,NA,NA,NA,NA,NA,22.0,0.0,1.0,47
TK Curran,21.0,17.0,2.0,0.0,False,1.0,21.0,NA,4.0,9.0,104.0,11.56,13.5,26.0,NA,NA,NA,4
TL Seifert,26.0,26.0,4.0,0.0,False,3.0,8.67,NA,NA,NA,NA,NA,NA,NA,1.0,0.0,0.0,4
TM Head,567.0,307.0,64.0,32.0,False,14.0,40.5,184.69,0.0,2.0,32.0,16.0,NA,NA,NA,NA,NA,15
