Player,Runs,Balls_Faced,Fours,Sixes,Not_Outs,Dismissals,Batting_Average,Strike_Rate,Wickets,Overs_Bowled,Runs_Conceded,Economy,Bowling_Strike_Rate,Bowling_Average,Catches,Stumpings,Run_Outs,Matches_Played
A Badoni,634.0,505.0,46.0,24.0,False,26.0,24.38,125.54,2.0,4.0,37.0,9.25,12.0,18.5,13.0,0.0,1.0,49
A Kamboj,2.0,2.0,0.0,0.0,True,0.0,2.0,NA,2.0,9.0,115.0,12.78,27.0,57.5,3.0,0.0,0.0,4
A Manohar,231.0,181.0,21.0,10.0,False,14.0,16.5,127.62,NA,NA,NA,NA,NA,NA,10.0,0.0,1.0,22
A Mishra,19.0,30.0,2.0,0.0,False,1.0,19.0,NA,14.0,14.0,280.0,20.0,6.0,20.0,1.0,0.0,1.0,12
A Nortje,42.0,45.0,6.0,0.0,False,4.0,10.5,NA,39.0,19.0,1085.0,57.11,2.92,27.82,5.0,0.0,0.0,34
A Raghuvanshi,163.0,109.0,16.0,8.0,False,7.0,23.29,149.54,NA,NA,NA,NA,NA,NA,4.0,0.0,0.0,10
A Tomar,4.0,8.0,1.0,0.0,False,1.0,4.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
A Zampa,10.0,17.0,0.0,0.0,False,3.0,3.33,NA,9.0,17.0,189.0,11.12,11.33,21.0,NA,NA,NA,8
AA Kulkarni,9.0,8.0,2.0,0.0,False,2.0,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
AB de Villiers,313.0,215.0,23.0,16.0,False,11.0,28.45,145.58,NA,NA,NA,NA,NA,NA,15.0,0.0,0.0,21
AD Russell,967.0,630.0,65.0,80.0,False,33.0,29.3,153.49,58.0,18.0,948.0,52.67,1.86,16.34,12.0,0.0,1.0,78
AF Milne,16.0,19.0,0.0,1.0,False,2.0,8.0,NA,4.0,10.0,154.0,15.4,15.0,38.5,2.0,0.0,0.0,8
AJ Finch,86.0,70.0,10.0,3.0,False,6.0,14.33,122.86,NA,NA,NA,NA,NA,NA,1.0,0.0,0.0,6
AJ Hosein,16.0,11.0,1.0,1.0,True,0.0,16.0,NA,1.0,4.0,41.0,10.25,24.0,41.0,NA,NA,NA,1
AJ Turner,21.0,20.0,0.0,2.0,False,2.0,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
AK Markram,995.0,787.0,73.0,35.0,False,33.0,30.15,126.43,2.0,13.0,173.0,13.31,39.0,86.5,24.0,0.0,0.0,61
AM Rahane,709.0,533.0,63.0,27.0,False,31.0,22.87,133.02,NA,NA,NA,NA,NA,NA,12.0,0.0,2.0,38
AR Patel,740.0,573.0,54.0,36.0,False,27.0,27.41,129.14,44.0,17.0,1322.0,77.76,2.32,30.05,30.0,0.0,0.0,83
AS Joseph,12.0,19.0,1.0,0.0,False,1.0,12.0,NA,16.0,18.0,618.0,34.33,6.75,38.62,3.0,0.0,1.0,23
AS Roy,26.0,24.0,3.0,0.0,False,3.0,8.67,NA,5.0,11.0,180.0,16.36,13.2,36.0,5.0,0.0,1.0,16
AT Rayudu,689.0,520.0,51.0,41.0,False,29.0,23.76,132.5,NA,NA,NA,NA,NA,NA,8.0,0.0,1.0,44
AU Rashid,22.0,17.0,2.0,1.0,False,2.0,11.0,NA,2.0,6.0,91.0,15.17,18.0,45.5,NA,NA,NA,3
Abdul Basith,1.0,1.0,0.0,0.0,True,0.0,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Abdul Samad,466.0,340.0,29.0,30.0,False,26.0,17.92,137.06,1.0,2.0,17.0,8.5,12.0,17.0,22.0,0.0,0.0,46
Abhishek Sharma,1234.0,821.0,118.0,65.0,False,47.0,26.26,150.3,8.0,12.0,283.0,23.58,9.0,35.38,14.0,0.0,0.0,67
Abishek Porel,360.0,244.0,37.0,15.0,False,16.0,22.5,147.54,NA,NA,NA,NA,NA,NA,6.0,0.0,1.0,16
Akash Deep,19.0,12.0,2.0,1.0,False,2.0,9.5,NA,8.0,16.0,324.0,20.25,12.0,40.5,2.0,0.0,0.0,10
Akash Madhwal,4.0,5.0,0.0,0.0,True,0.0,4.0,NA,22.0,18.0,431.0,23.94,4.91,19.59,1.0,0.0,0.0,13
Aman Hakim Khan,115.0,109.0,8.0,6.0,False,9.0,12.78,105.5,0.0,1.0,13.0,13.0,NA,NA,9.0,0.0,0.0,15
Anmolpreet Singh,139.0,117.0,19.0,3.0,False,9.0,15.44,118.8,NA,NA,NA,NA,NA,NA,1.0,0.0,0.0,9
Anuj Rawat,318.0,276.0,26.0,14.0,False,14.0,22.71,115.22,NA,NA,NA,NA,NA,NA,18.0,0.0,2.0,32
Arjun Tendulkar,13.0,9.0,0.0,1.0,False,1.0,13.0,NA,4.0,8.0,117.0,14.62,12.0,29.25,NA,NA,NA,5
Arshad Khan,96.0,67.0,5.0,6.0,False,4.0,24.0,143.28,6.0,12.0,282.0,23.5,12.0,47.0,2.0,0.0,0.0,11
Arshad Khan (2),5.0,4.0,1.0,0.0,False,1.0,5.0,NA,0.0,2.0,25.0,12.5,NA,NA,NA,NA,NA,2
Arshdeep Singh,29.0,39.0,4.0,0.0,False,4.0,7.25,NA,70.0,20.0,1761.0,88.05,1.71,25.16,7.0,0.0,0.0,62
Ashutosh Sharma,189.0,118.0,10.0,15.0,False,8.0,23.62,160.17,NA,NA,NA,NA,NA,NA,2.0,0.0,0.0,11
Atharva Taide,247.0,177.0,27.0,8.0,False,8.0,30.88,139.55,0.0,1.0,4.0,4.0,NA,NA,5.0,0.0,0.0,11
Avesh Khan,37.0,22.0,2.0,3.0,False,1.0,37.0,NA,76.0,20.0,1709.0,85.45,1.58,22.49,6.0,0.0,0.0,59
Azmatullah Omarzai,42.0,34.0,2.0,2.0,False,4.0,10.5,NA,4.0,6.0,194.0,32.33,9.0,48.5,NA,NA,NA,11
B Indrajith,21.0,31.0,2.0,0.0,False,3.0,7.0,NA,NA,NA,NA,NA,NA,NA,1.0,0.0,1.0,5
B Kumar,123.0,139.0,13.0,0.0,False,10.0,12.3,88.49,49.0,15.0,1718.0,114.53,1.84,35.06,5.0,0.0,1.0,72
B Sai Sudharsan,1034.0,770.0,95.0,32.0,False,21.0,49.24,134.29,NA,NA,NA,NA,NA,NA,3.0,0.0,0.0,27
BA Stokes,15.0,18.0,2.0,0.0,False,3.0,5.0,NA,0.0,2.0,30.0,15.0,NA,NA,3.0,0.0,0.0,3
BR Sharath,2.0,5.0,0.0,0.0,False,1.0,2.0,NA,NA,NA,NA,NA,NA,NA,1.0,0.0,0.0,2
C Green,707.0,472.0,62.0,32.0,False,20.0,35.35,149.79,20.0,20.0,675.0,33.75,6.0,33.75,10.0,0.0,1.0,47
C Sakariya,20.0,31.0,3.0,0.0,False,5.0,4.0,NA,20.0,17.0,610.0,35.88,5.1,30.5,6.0,0.0,0.0,24
CA Lynn,49.0,36.0,4.0,3.0,False,2.0,24.5,NA,NA,NA,NA,NA,NA,NA,2.0,0.0,0.0,1
CH Gayle,193.0,160.0,21.0,8.0,False,11.0,17.55,120.62,NA,NA,NA,NA,NA,NA,3.0,0.0,0.0,11
CH Morris,67.0,53.0,2.0,5.0,False,5.0,13.4,126.42,17.0,16.0,396.0,24.75,5.65,23.29,4.0,0.0,0.0,14
CJ Jordan,49.0,43.0,1.0,3.0,False,5.0,9.8,NA,10.0,17.0,480.0,28.24,10.2,48.0,5.0,0.0,0.0,19
CR Woakes,15.0,11.0,2.0,0.0,True,0.0,15.0,NA,5.0,5.0,85.0,17.0,6.0,17.0,NA,NA,NA,3
CV Varun,15.0,33.0,2.0,0.0,True,0.0,15.0,NA,67.0,20.0,1650.0,82.5,1.79,24.63,9.0,0.0,1.0,59
D Brevis,230.0,176.0,17.0,16.0,False,10.0,23.0,130.68,1.0,1.0,8.0,8.0,6.0,8.0,4.0,0.0,0.0,15
D Ferreira,8.0,11.0,0.0,0.0,False,2.0,4.0,NA,NA,NA,NA,NA,NA,NA,3.0,0.0,0.0,5
D Padikkal,1086.0,925.0,119.0,34.0,False,49.0,22.16,117.41,NA,NA,NA,NA,NA,NA,20.0,0.0,2.0,60
D Pretorius,44.0,28.0,3.0,3.0,False,4.0,11.0,NA,7.0,12.0,242.0,20.17,10.29,34.57,3.0,0.0,0.0,12
D Wiese,21.0,11.0,0.0,3.0,False,1.0,21.0,NA,0.0,3.0,38.0,12.67,NA,NA,3.0,0.0,0.0,4
DA Miller,1074.0,796.0,81.0,47.0,False,29.0,37.03,134.92,NA,NA,NA,NA,NA,NA,26.0,0.0,2.0,62
DA Warner,1313.0,1028.0,153.0,41.0,False,36.0,36.47,127.72,NA,NA,NA,NA,NA,NA,20.0,0.0,0.0,54
DG Nalkande,12.0,12.0,0.0,1.0,False,2.0,6.0,NA,6.0,10.0,150.0,15.0,10.0,25.0,2.0,0.0,0.0,8
DJ Bravo,70.0,48.0,4.0,5.0,False,4.0,17.5,NA,32.0,15.0,567.0,37.8,2.81,17.72,5.0,0.0,0.0,29
DJ Hooda,840.0,665.0,64.0,32.0,False,42.0,20.0,126.32,3.0,13.0,209.0,16.08,26.0,69.67,29.0,0.0,1.0,66
DJ Malan,26.0,26.0,1.0,1.0,False,1.0,26.0,NA,NA,NA,NA,NA,NA,NA,1.0,0.0,0.0,2
DJ Mitchell,351.0,274.0,28.0,10.0,False,13.0,27.0,128.1,1.0,5.0,97.0,19.4,30.0,97.0,11.0,0.0,0.0,21
DJ Willey,53.0,64.0,7.0,0.0,False,3.0,17.67,82.81,5.0,12.0,181.0,15.08,14.4,36.2,2.0,0.0,0.0,10
DL Chahar,2.0,3.0,0.0,0.0,True,0.0,2.0,NA,34.0,17.0,957.0,56.29,3.0,28.15,6.0,0.0,0.0,35
DP Conway,924.0,669.0,100.0,30.0,False,20.0,46.2,138.12,NA,NA,NA,NA,NA,NA,8.0,0.0,1.0,26
DR Sams,44.0,46.0,1.0,3.0,False,9.0,4.89,NA,15.0,16.0,414.0,25.88,6.4,27.6,8.0,0.0,0.0,26
DT Christian,14.0,24.0,1.0,0.0,False,4.0,3.5,NA,4.0,11.0,156.0,14.18,16.5,39.0,9.0,0.0,0.0,14
Dhruv Jurel,347.0,237.0,29.0,16.0,False,13.0,26.69,146.41,NA,NA,NA,NA,NA,NA,12.0,0.0,0.0,28
E Lewis,224.0,156.0,26.0,10.0,False,8.0,28.0,143.59,NA,NA,NA,NA,NA,NA,3.0,0.0,0.0,13
EJG Morgan,133.0,142.0,8.0,6.0,False,12.0,11.08,93.66,NA,NA,NA,NA,NA,NA,9.0,0.0,1.0,20
F du Plessis,2269.0,1607.0,217.0,93.0,False,58.0,39.12,141.19,NA,NA,NA,NA,NA,NA,27.0,0.0,1.0,79
FA Allen,14.0,19.0,1.0,0.0,False,2.0,7.0,NA,2.0,10.0,136.0,13.6,30.0,68.0,2.0,0.0,0.0,7
Fazalhaq Farooqi,3.0,13.0,0.0,0.0,True,0.0,3.0,NA,6.0,14.0,229.0,16.36,14.0,38.17,1.0,0.0,0.0,9
G Coetzee,14.0,22.0,0.0,1.0,False,4.0,3.5,NA,13.0,16.0,357.0,22.31,7.38,27.46,1.0,0.0,0.0,15
GD Phillips,65.0,55.0,3.0,6.0,False,7.0,9.29,118.18,2.0,4.0,40.0,10.0,12.0,20.0,3.0,0.0,0.0,13
GHS Garton,2.0,4.0,0.0,0.0,False,1.0,2.0,NA,3.0,10.0,136.0,13.6,20.0,45.33,1.0,0.0,0.0,7
GJ Maxwell,1266.0,828.0,114.0,69.0,False,42.0,30.14,152.9,21.0,18.0,525.0,29.17,5.14,25.0,17.0,0.0,2.0,78
Gulbadin Naib,19.0,15.0,1.0,1.0,False,1.0,19.0,NA,0.0,1.0,12.0,12.0,NA,NA,1.0,0.0,0.0,2
H Klaasen,927.0,555.0,51.0,63.0,False,21.0,44.14,167.03,NA,NA,NA,NA,NA,NA,11.0,3.0,4.0,32
HC Brook,190.0,159.0,23.0,4.0,False,9.0,21.11,119.5,NA,NA,NA,NA,NA,NA,3.0,0.0,0.0,13
HE van der Dussen,22.0,25.0,2.0,0.0,False,2.0,11.0,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,1.0,4
HH Pandya,1176.0,911.0,103.0,43.0,False,42.0,28.0,129.09,25.0,20.0,856.0,42.8,4.8,34.24,17.0,0.0,2.0,85
HR Shokeen,66.0,67.0,9.0,0.0,False,3.0,22.0,98.51,5.0,14.0,320.0,22.86,16.8,64.0,5.0,0.0,0.0,16
HV Patel,121.0,115.0,11.0,6.0,False,15.0,8.07,105.22,101.0,17.0,1835.0,107.94,1.01,18.17,12.0,0.0,3.0,72
Harbhajan Singh,4.0,4.0,0.0,0.0,True,0.0,4.0,NA,0.0,4.0,63.0,15.75,NA,NA,1.0,0.0,0.0,3
Harpreet Brar,213.0,187.0,17.0,8.0,False,12.0,17.75,113.9,25.0,20.0,818.0,40.9,4.8,32.72,14.0,0.0,0.0,55
Harpreet Singh,103.0,93.0,10.0,3.0,False,4.0,25.75,110.75,NA,NA,NA,NA,NA,NA,1.0,0.0,0.0,5
Harshit Rana,2.0,3.0,0.0,0.0,False,2.0,1.0,NA,27.0,20.0,590.0,29.5,4.44,21.85,5.0,0.0,0.0,22
I Sharma,2.0,9.0,0.0,0.0,True,0.0,2.0,NA,23.0,15.0,574.0,38.27,3.91,24.96,2.0,0.0,1.0,21
Ishan Kishan,1433.0,1084.0,155.0,55.0,False,51.0,28.1,132.2,NA,NA,NA,NA,NA,NA,35.0,3.0,9.0,77
J Fraser-McGurk,330.0,150.0,32.0,28.0,False,8.0,41.25,220.0,NA,NA,NA,NA,NA,NA,5.0,0.0,1.0,12
J Suchith,16.0,14.0,2.0,1.0,False,2.0,8.0,NA,8.0,12.0,207.0,17.25,9.0,25.88,7.0,0.0,0.0,12
J Yadav,34.0,26.0,2.0,1.0,False,2.0,17.0,NA,3.0,12.0,157.0,13.08,24.0,52.33,3.0,0.0,0.0,8
JA Richardson,17.0,27.0,2.0,0.0,False,3.0,5.67,NA,3.0,9.0,162.0,18.0,18.0,54.0,1.0,0.0,0.0,5
JC Archer,4.0,4.0,0.0,0.0,True,0.0,4.0,NA,2.0,12.0,202.0,16.83,36.0,101.0,NA,NA,NA,6
JC Buttler,1868.0,1333.0,189.0,84.0,False,47.0,39.74,140.14,NA,NA,NA,NA,NA,NA,24.0,0.0,3.0,61
JD Unadkat,133.0,103.0,10.0,6.0,False,6.0,22.17,129.13,21.0,20.0,772.0,38.6,5.71,36.76,1.0,0.0,1.0,35
JDS Neesham,31.0,29.0,3.0,0.0,False,3.0,10.33,NA,5.0,8.0,97.0,12.12,9.6,19.4,1.0,0.0,0.0,9
JE Root,10.0,15.0,1.0,0.0,False,1.0,10.0,NA,0.0,2.0,15.0,7.5,NA,NA,2.0,0.0,0.0,2
JJ Bumrah,28.0,38.0,3.0,0.0,False,4.0,7.0,NA,59.0,20.0,1155.0,57.75,2.03,19.58,4.0,0.0,0.0,53
JJ Roy,435.0,321.0,57.0,13.0,False,13.0,33.46,135.51,NA,NA,NA,NA,NA,NA,5.0,0.0,0.0,16
JM Bairstow,799.0,556.0,87.0,38.0,False,28.0,28.54,143.71,NA,NA,NA,NA,NA,NA,12.0,1.0,3.0,39
JM Sharma,730.0,501.0,53.0,45.0,False,32.0,22.81,145.71,NA,NA,NA,NA,NA,NA,25.0,4.0,5.0,54
JO Holder,155.0,131.0,4.0,13.0,False,14.0,11.07,118.32,36.0,20.0,937.0,46.85,3.33,26.03,9.0,0.0,0.0,42
JP Behrendorff,6.0,9.0,0.0,0.0,True,0.0,6.0,NA,17.0,14.0,395.0,28.21,4.94,23.24,2.0,0.0,0.0,12
JR Hazlewood,19.0,29.0,1.0,0.0,True,0.0,19.0,NA,35.0,15.0,758.0,50.53,2.57,21.66,1.0,0.0,0.0,28
